,source
1988 Poland Socialist Party,1
2015 zm.2 He,1
Patriotic 4 II,1
Mieczysław Koza,1
currently k. Bania Bosnia,1
1963  Employee,1
1981 trade Participant,1
1989  Physisja,1
1989Organizing Committee,1
Jerzy Koziarz,1
9 Polish Scenes W,1
1981 KS Solidarity he,1
formally worker Council Krajowy,1
Lenin Gdańsk he,1
W strike Chairman,1
1979 SOR XII,1
II 1957 Ustrzyki Student,1
80  Casual,1
Piotr Grzegorz it,1
2000 group member,1
Mechanic ship 1971).He,1
free  proceedings,1
editorial  secretary,1
1991 National Judicial he,1
1993  she,1
Coalition Committee Civic Committee,1
facility trade author,1
19 trade XI,1
local government chairman,1
1989 Pakademia Participant,1
following  the,1
1982 27 1982 V,1
Stefan Kozłowski,1
free Kazimierz Doboszem,1
1982 Wierzchowowo 3/1982,1
1996 Western he,1
young miner pastoral he,1
so calledLojall.1981 he,1
Wanda Krajewska Hofman,1
1963 Hungarian Psychologist,1
1989 union member,1
2007 Jan member,1
1961 on4 She,1
Janusz case,1
Stanisław he,1
1986–1989 District Kolporter,1
1982 KS Mo,1
no.underground Lviv they,1
democratic Columbia University scholarship,1
so copper He,1
1975 laboratory machine,1
third Rusw participant,1
1989 Housing Cooperative Plenipotentiary,1
1971 Wicker 1989,1
underground  collectage,1
III  he,1
Tomasz Kraszewski,1
1984 Blessed Virgin 1986,1
"TV sound S"".1989",1
agricultural Sanitary 1986,1
Gorzów He,1
1980 factory he,1
Solidarity fighting,1
Dariusz Krawczyk,1
Kolporter CDN he,1
parliamentary publishing he,1
Merited Culture Activist,1
1982  member,1
2010 Lodz member,1
1942 on26 graduate,1
1926 born29 He,1
1980 Zbipm Cuprum,1
22  VIII,1
Osiedle Miedzodrze member,1
Marcin Król,1
1978 Co -,1
Education Solidarity Workers,1
not Poetic Group Scriptures,1
public Polish parents,1
IX 1987 IX participant,1
Roland Kruk,1
leaflet Młynek Delegated,1
commercial Republican initiator,1
Warmia publishing literature,1
1982  Editor,1
1992 Provincial 2004,1
1938 Józef He,1
1987 Rzeszów he,1
1983  X,1
1981 Rzad Region 27,1
weekly Kielce he,1
2016 appeal court,1
1983 organizing employee,1
independent Jerzy 1979,1
distributor,1
economic  4,1
15 KS IV,1
1945 Bielsko He,1
Committee coast S,1
Golden Cross Golden Medal,1
1931 Glinik He,1
crypt 1986,1
illegally state printing He,1
includingHe,1
provincial Dignity 2001,1
alpinistic  he,1
IX 1944 Godowa K. He,1
founders,1
next Professional Nieznie,1
SOS Jack;21 February,1
2002 D.17 He,1
Collaborator Free Collaborator trade,1
currently Alina Ukraine).She,1
Higher Maritime Cookie,1
15 car repair XII,1
Central Instas members,1
Senior Linguistics Medical he,1
1989 Solidarity Member,1
Co -author,1
Casual  includingAjent,1
S Kalisz.4 VI,1
1982  24/1982,1
New York;Aid includingMoney,1
1977  1981,1
1981 Founding Bureau,1
responsible printing Participant,1
1961 Janusz He,1
1938 zm.5 He,1
local village which,1
1953 on27 She,1
1978  Motorcycle,1
material othersKS.Henryk Jankowski,1
1989  she,1
Andrzej Bączkowski,1
2  IX,1
soldier,1
Adam Mickiewicza,1
12th  participant,1
formerly born24 She,1
Committee Underground Temporary Organizer,1
later  Ministry,1
22  XI,1
1999 DeputyWojewoda President,1
body,1
III III 1968,1
1981  MKOMISSIA,1
1st Kalisz I,1
2002 Stanisław Stefan He,1
80  A,1
2009 zm.9 He,1
22 IX 1989,1
next Caritas Toruński,1
Workstan Commission Władysław W,1
where  husband,1
Edward He,1
1953 born13 She,1
1988 Solidarity Movement she,1
organizer co independent,1
1980 Stalowa We,1
1956 born14 He,1
1955 born9 He,1
leaflet Podlasie I,1
1984 health proceedings,1
1949 born9 He,1
1990 A worker,1
Zdzisław Eugeniusz Krzemiński,1
S Kutno Land,1
III 1983 Czerwony participant,1
Republic III he,1
1981  wife,1
beaten Mirosław she,1
1953 Born29 He,1
Andrzej Stars;29 1981,1
1950 Ostrów She,1
1965 Polish Culture Center,1
1989 Exploitation activist,1
2016 d.13 He,1
o kolportaz case,1
Last  time,1
2000 Catholic Narodowe he,1
1983 District Court SMW,1
Runotex South Wielkopolska information,1
Kalisz He,1
1966 born22 He,1
legal employment advisor,1
Skierniewice EC Brands;1984,1
1950 Janusz Tomasz He,1
2014 Stalowa Wola.zm17 He,1
registration ZM 29,1
"Solidarity"";He",1
1978  Lecturer,1
1995 Social SOS candidate,1
23  1989,1
1981 Scientific Chairman,1
Technical Square publishing house,1
1982 PZPR it,1
1930 KS.born.28 graduate,1
gray Warsaw 1958,1
1968 Stanisław imprisonment,1
parish pastoral organization,1
SS Służebniczek,1
then Works Committee,1
1981  Republic,1
1982 Council Krajowy Cooperator,1
1980 information office,1
includingResponsible Council Krajowych,1
Delegate Commission He,1
1981  Author,1
1950 Wojciech Mieczysław He,1
Liberal Social University,1
medical Social Health Author,1
Mirosława Mencel,1
1981 Freedom Justice Author,1
1982 Andrzej Furmagi).1982 -,1
1988  organizer,1
1952 Central it,1
15 Suwałki XII,1
charity aid 1984,1
protest includingHe,1
Mieczysław Marian Łazarz,1
Nevertheless Round Table participant,1
77  intellectuals,1
Science participant,1
1950 Tadeusz He,1
locksmith Pruszcz he,1
14 months VI,1
2006 d.15 He,1
S WPEC delegate,1
1989 p. RusW,1
Zofia Kuratowska,1
7 Kielce IV,1
1980 opposition author,1
S Adolf Warski,1
S Main He,1
S truck factory which,1
underground factory).1982 Field,1
Honor canon,1
19 years VIII,1
1979  January,1
locksmith,1
Edmund Marek He,1
co Telewizja he,1
1953 Garbatka He,1
1981  Printer,1
1981 Polish negotiator,1
1989  delegate,1
Piotr Kurowski,1
Honorian Blessed Virgin canon,1
socialist  economy,1
Solidarity trade unions,1
14 axisIsolation Warsaw IV,1
academic  teacher,1
Solidarity Free Solidarity,1
1956 on30 He,1
Władysław Palmowski Kraków Nowa which,1
poetic radio Szczecin,1
WYDZV KW,1
prestigious  Prizes,1
Solidarity trade decision,1
1982 Party Roman which,1
25 VII proceedings,1
3 Vilnius Brigade,1
1977 Board M Subsequently,1
1990  1991,1
independent concert establishment,1
1959 Mariusz He,1
1984 Catholic Barbara,1
Krystyna Kuta,1
pastoral Stanisława Kostka,1
underground Toruń Kat,1
othersIn Eagle Wrona,1
V III KW,1
17 Maria Curie II,1
Cologne She,1
Serial  employee,1
1983 V 1989,1
Solidarity Amnesty International invitation,1
12/13  December,1
15 Helena Kubicka She,1
Wojciech Józef Kwidziński,1
regional Warsaw he,1
Barbara Lidia Labuda,1
1976 trade she,1
7/1982,1
pastoral  she,1
1979 St. initiator,1
III 1981 ZW.With he,1
1982 Virgin Programmer,1
Metal School cooperation,1
28  XII,1
"underground  Grot"";She",1
2008,1
Adam Kazimierz Acid,1
1962 born24 He,1
underground  case,1
Andrzej Flower,1
printing he,1
28 Zofia Kwiatkowska She,1
14  VII,1
Wiesława Kwiatkowska,1
subordinate Jacek Merkl);1987 Members,1
proof Gdańsk Lenin,1
Zenon He,1
release  it,1
1987 Chemorospiech Oświęcim he,1
1951 Tadeusz He,1
1989 state machinery Author,1
1981 Ward Region,1
underground Tygodnik Mazowsze,1
1988  Co,1
2008 Góra He,1
1974  Mechanic,1
1990 Member COMMISSION,1
1986 OAW Organizer,1
Wacław Lewkowicz,1
1984 Solidarity Casual,1
where Alina he,1
2005 d.29 He,1
1967 Teacher Association,1
embedded  inIsolation,1
28 Broadcase VIII,1
Divine team,1
pre - election 1982,1
1965  Afferent,1
1979  XII,1
second  referent,1
Władysław Power founder,1
high  1973);Navigator,1
1990 Mazowsze Agency,1
Scouting,1
1964 born6 He,1
KPN Marszów Department,1
Polish Party,1
1982 Andrzej Boboli,1
1982 Barbara Sarapuk).5 Isolation,1
1955  Assistant,1
planned anniversary strike,1
specialist prison internment,1
11  XII,1
Ryszard Landowski,1
400 Zdzisław Zawadzki Zomo,1
born8 III She,1
1980 Vice - Committee;Delegate,1
European Solidarity member,1
1955 Franciszek He,1
1981 Editor Bruk,1
1947 Grodzecki K. He,1
independent Occasional Repressed,1
Interview Star You,1
3 Audit 1991,1
1950 b.18 She,1
Andrzej Kwiatkowski,1
released;28 XI released;28 case,1
8  VIII,1
Jan Kwiatkowski,1
Polish Andrzej Sobkowiak.1984 he,1
1987 Golden Cross,1
Marian  He,1
othersIn Hilary Documentation,1
now born9 Ukraine).He,1
technical  study,1
17  VIII,1
1946 Dębicz k. He,1
48 environment;1982 wife,1
1991  directorTechnical,1
1989 printing Author,1
Multi branch Enterprise President,1
17  XII,1
2018 d.24 She,1
IV 27 IV 1989,1
Dawn,1
Grade Cabinet Jerzy President,1
19 V 1977,1
1 publishing sketches,1
LaureatePrizes,1
1970 IX 1989,1
1952 born10 He,1
then  vice,1
2.5 years judgment,1
Territorial Solidarity Center he,1
1989 Primasary Assistance Marcin,1
currently Ruda K. Ukraine).He,1
1983  Signatory,1
political Mr Rzeczpospolita founder,1
1984–5  October,1
Hieronim Liberkowska,1
1981 National Defense member,1
underground  writings,1
1953 Nowy He,1
Mazovian Nowa he,1
1997 Political Order,1
currently Tadeusz Belarus).He,1
Solidarity trade member,1
80 Czesław Sadłowski,1
1984 years Kolporter,1
Ibid  He,1
1939 State Maritime outbreak,1
1960 S Lirija I,1
1981 share committee participant,1
KRYPT,1
1982 street SB,1
20  VIII,1
Several Assistance times,1
Currently Catholic he,1
1984 Memorportage Participant,1
Connector Rzeszów Solidarity,1
1956 trade he,1
born31 He,1
informal Bronisław Sroki,1
1985 Health who,1
Solidarity Human W,1
Edward Lipkowski,1
fromWeapons,1
1991 Koleje State Team,1
when Joanna she,1
1957  Tokarz,1
1957 Lignarski graduate,1
first Council Krajowyw Mazowsze,1
Maksymilian St. Maksymilian Organizer,1
pastoral Bożena center,1
1961 Ostrów He,1
interesting Władysław Frasyniuk,1
1985 Dr. Jerzy 1986,1
PiS Ostrów Councilor,1
Fryderyk Łazars,1
1984 Solidarity Author,1
1944 Biała He,1
Actress,1
199  2000,1
independent publishing houses,1
transitionStriking organizer workers,1
1981 Świdnik;I Circle,1
same House publishing he,1
"worker""Kurier Artists -",1
1981 Biała novel,1
1948 on7 He,1
18  VIII,1
Ursus  IX,1
Next MKommisja Information Gablot,1
Antoni Łassa,1
there Independent Students member,1
Several includingSW times,1
1982  revision,1
S Rzeszów Dairy -,1
Edward July,1
1956 blood donation member,1
1981 VIII he,1
1991 Senator Rzeczpospolita Polska,1
KW Mo Cluster;1988 1989,1
arrested Kazimierz Author,1
Marian Lisowiec,1
Solidarity opposition they,1
2008 d.13 He,1
Club trade S,1
II 9 II VIII,1
19  November,1
repressed student He,1
Katarzyna Łaniewska Błaszczak,1
2002 Polish retirement;He,1
Mirosław Łapa,1
Jacek printers,1
Wiesław Money,1
90  Designer,1
10 born13 IV,1
happening Tarnowski participant,1
1978–1980  co,1
1980 Wheels founder,1
1953 Piotrków He,1
artistic General Lucjan Notes,1
1968  Student,1
1954 born8 He,1
vis,1
1938 born30 He,1
1981 Factory machine tools,1
2011 d.22 He,1
8 III 1982,1
lowest  projects;He,1
1985;The Marek Tumidajewicz,1
Scientific concert graduate,1
Zbigniew Jan Łełyk,1
independent trade Operator,1
subsequent  courts,1
1949 self he,1
scientific  Beginnings,1
1981 informer independent it,1
1971 Polish Scene 1976,1
10  February,1
social includingThe organizer,1
literary Monograph Robert Rubric,1
2006 City Councilor,1
1943 born29 He,1
1981 Ostrów Głogów,1
1993–2003  Pastor,1
collective  He,1
16 Individual XII,1
1955 born25 He,1
6 District Imprisonment,1
thematic press China,1
Janusz Łuczak,1
military university authorities,1
where trade he,1
10 III 1983,1
KW Mo crypt Beardight;1987,1
Consultant Transport member,1
was,1
1994 Information Bureau,1
1981–1989 Independent he,1
WatchV  III,1
1944 born13 He,1
employed  20,1
Machine tool;1982,1
1947 born4 He,1
1984  V,1
4  1989,1
1952 Opole He,1
DYR.Organizational Committee Civic Committee,1
1969  case,1
1967  Assistant,1
1967  1971,1
economic system 2008).He,1
1981 MKommisja chairman;From,1
Technology participant,1
collective  Lawina,1
born14 He,1
audio editorial 1982–1988,1
5  IV,1
1945 Charles Popiel he,1
Solidarity K employees,1
1937 born21 He,1
1983 Warsaw River crosses,1
secret Secret Coordination that,1
indievidal trade Participant,1
1993 Movement Action President,1
34 Antoni Jałowiecki,1
away Kielce he,1
conditionally  II,1
2014 Council Bielsko Biała,1
Maciej Łopiński,1
1986 Warsaw Historical blocs,1
1988 Białystok President,1
Secret Trade company,1
two III years,1
Bureau XIII Ministry,1
1987  1987,1
1952 Zbigniew He,1
times Manifestation research.1982,1
22  IV,1
1954 zm.10 He,1
1986 Bielsko proceedings,1
2007 Democratic Party,1
underground Elektron Office manager,1
1985  Master,1
2009 Photography founder,1
Solidarity trade VII,1
Underground Lech publishing,1
2000 Center House he,1
famous Puławska Caricatures,1
1980 - initiator Transforming,1
1987–5  V,1
1946  Germany).He,1
Kalisz.1995 BIO President,1
1981  Belty,1
1989 Jerzy participant,1
1980 RSW member,1
formerly Leszek which,1
1986 Lublin SB,1
"solidarity"";Organizer collectage print",1
1984  decision,1
Finally prosecutor Zbigniew prosecutor,1
indication,1
valid investigation proceedings,1
mortal ZOMO this,1
ZOMO statements,1
illegal Provincial VII,1
2001 AWS President,1
7th printing who,1
again Jacek Chairman,1
13 Provincial member,1
shielded III who,1
1962 n. He,1
1 Warsaw VII,1
9 prison VII,1
Electoral he,1
1981 28 II,1
26  1989,1
8  XII,1
editions.1991  member,1
currently born8 Ukraine).He,1
paid  tires,1
IX 1 IX XI,1
Municipal ADM guards,1
Further 25 performance,1
1986  April,1
1980 Membrance participant,1
xi 24 xi XII,1
1950 Henryk He,1
Individuals Governing Trade member,1
"governing Solidarity"";The chairman",1
KW,1
1981 region intervention She,1
1987 Fantast;19 VI,1
independent Leonard he,1
Krzysztof Andrzej He,1
Mieczysław Grzegorz Marczak,1
Rows,1
includingWhen Social Resistance releasing,1
individual Celebrants Mass,1
Fr Divine Mercy Archdiocese,1
1952 Anna She,1
22 textile he,1
1981 Advisor Independent Association,1
well  who,1
IX 1988 IX College,1
2008 Sulechów Historical Organizer,1
noble born24 graduate,1
III 1936 III He,1
Regional Banner Chargery Regional -,1
1922 Henryk He,1
8 Provincial Court,1
1980 Department Committee;Together,1
departmental organizing committee,1
Maliszewska She,1
1989 Holy she,1
1985 Respectory Rada,1
KW Mo TW PS.Leszek.10 Marciniak,1
Technical Energy Gdańsk she,1
same St. he,1
Ryszard Stanisław Majewski,1
Katyn Agricultural he,1
1988 V I,1
1984 Tadeusz he,1
Malaszka Lesław,1
important TW SB,1
1988 Jagiellonian 1988–1989,1
2006 Telewizja 2008,1
includingAllah Akbar God,1
14  1988,1
1970 trade associations,1
2005  founder,1
third Student participant,1
1939 Jan He,1
S OO Jesuits,1
VIII 10 VIII September,1
1985 Student self government,1
1953  Pharmacist,1
Leszek Marciniak,1
6 X XII,1
KS MO Krzysio;18 VII,1
11 Memorial Cardinal Meetings,1
21  V,1
interned Huta he,1
2013 Tadeusz He,1
1953 PAX editor,1
1988 I III,1
1993 chalk wheels,1
1934 Alicja She,1
1988 Rzeszów Council he,1
1982 8 II,1
Solidarity trade Chairman,1
25  26,1
III 1951 Nowa He,1
3 years hearing,1
BernardineIn OO Rzeszow).In,1
Great  we,1
1966 born11 He,1
Krakow Culture What,1
Solidarity Member Association,1
protection Voivodship she,1
Social ZR employee,1
private J. participant,1
Krzysztof Mazik,1
1991 Center head,1
80 Publishing He,1
Journalist Tygodnik Powszechny,1
Medal  S,1
currently  Lithuania).He,1
1981 National he,1
Wiesław He,1
Polygraphic DYR President,1
interrogated,1
Krzysztof Stefan Michałkiewicz,1
2008 Polish founder,1
1988 employment she,1
1982 Bydgoszcz December,1
4 Polish Scenes 1984,1
antique candle worker,1
Grzegorz Matyyaszczyk,1
factory Konin S,1
1955 Andrzej Ryszard He,1
Maria Olga Matysiak,1
Committee IX S,1
Poznań district police AŚ,1
1960 Zbigniew Andrzej He,1
made SB member,1
1981  members,1
many workshop he,1
independent Andrzej Stanisławski,1
Real policy course,1
German von Targowica,1
1950 Międzyrzec He,1
Delegate Rzd Region editor,1
1987 Wholesale Kolporter He,1
Own Las Production construction,1
1988 transferring participant,1
Komorowski Krzyżski Komorowski,1
1993 Polski Arabska .,1
electoral Pruszkowskie Agreement,1
local Rzeszów which,1
1997 - Mayor Author,1
V 17 V XII,1
Stanisław Jan Mazurkiewicz,1
white Eagle,1
Third Rzeczpospolita.1993 Adwokacka lawyer.1994,1
1995 d.9 He,1
1946 Vilnius National he,1
1982 Andrzej 1989,1
1980 United member,1
12  May,1
organizer Medical Cooperation,1
1987 Nowy 1991,1
Underground Tygodnik,1
first share Zakowad,1
St. he,1
underground  writage,1
2002 Foundation Foundation member,1
1989  III,1
school;1979 1980 Polish Hunting 1980,1
1998 Senator Rzeczpospolita we,1
Kazimierz Szczepan Mazur,1
Farmer,1
III 1981 III Founder,1
Solidarity Przemysław Kolporter,1
government.1997 2003 government.1997 activist.1992,1
Stanisław Micał,1
BP.Przemyński Organizing who,1
individual trade President,1
1963 born25 He,1
metastatic West he,1
2000  originator,1
there volunteer member,1
leaflet Piekary he,1
1962 born3 He,1
1957  1981,1
1980 Artistic he,1
2011 zm.16 She,1
1982 Puławy she,1
foreign Soviet Union);Since,1
independent broadcasting activist,1
1968 Student signatory,1
1975  member,1
1992 Municipal member,1
Polish Czechoslowean he,1
1981 Huta participant,1
2004 health he,1
1985 Józef Tischner,1
deserved H.C. New School,1
Central Institutional Europe,1
Solidarity trade them,1
1970  Łódź,1
1989  Lecturer,1
1949 Henryk He,1
1966,1
delegation  he,1
Jerzy Milewski,1
1956 Andrzej He,1
housing strike author,1
military service;1973 1981,1
1980 Founding originator,1
then Committee Civic Committee,1
1982 prison he,1
Grażyna Julia Łipacewicz,1
1990 trade unions,1
next Białystok delegate,1
NOTICE COMMUNITY COMMUNITIES,1
Co authors,1
22 Scientific organizer,1
1993 District decision,1
1954 Bogusław Jan He,1
1981 Chełm;In Delegate,1
criminal border cases,1
Andrzej Milczanowski,1
termite  animator,1
1989 Co he,1
1988 Paula Lauritzena,1
Ewa Milewicz,1
1982;fired III he,1
1 Romualda Traugutta,1
20  1980,1
2012  SN,1
1980 Dariusz Teacher,1
90  vision,1
8 III,1
Solidarity Trade he,1
1983 Mining Lubin,1
1992 John he,1
financed Lenin;Co founder,1
book,1
80 Ostrów He,1
honorary  member,1
1981 KPN he,1
1979–1989,1
80  He,1
1975 St. Anna,1
2010 High Siedlce,1
1982–1989 organizer andDiocesan Committee,1
Lech Jerzy Miściorak,1
1982 released;31 Isolation,1
martial Factory member,1
2000 K. He,1
historical Black Ministry,1
consultation he,1
1989 round he,1
Russian  he,1
1976–1981,1
1928 Stanisław He,1
OO Jesuits,1
governing European which,1
released;31,1
1940 Ostrów He,1
1981 W Secretary,1
1986 Maksymilian Maria 1989,1
1977 centrumio Co,1
1982 maternity organizer,1
2010 Royal Psychiatrist,1
Ryszard He,1
proceedings,1
1997combined Wałbrzych Board,1
1930 Robert graduate,1
Independent Scriptures Independent He,1
23  IX,1
so  calledAnd,1
Bronisław Geremek,1
1966 on1 He,1
when Eagle White he,1
Ciosany spirit Third Polish Luctus,1
1970 Cylinder Professional promotion,1
1976  Helper,1
several Regional Roadholder times,1
2010 Bus driver,1
2014 Starogard He,1
Solidarność Wybrzeże he,1
independent  he,1
own Anna he,1
natural poster organizer,1
1981 National which,1
scientific Maria Grzegorzewska,1
agricultural Wincenty Christian,1
democratic Polish discretion,1
Catholic Gródek studios,1
2003 - employees,1
15 Kamionka He,1
Ukrainian insurgent ZW.with,1
Paweł Maria Niemkiewicz,1
8 III V,1
1989–1990  journalist,1
1950 Wiesław He,1
"Parisian Józef Workman"";He",1
9 Ostrów VI,1
military  He,1
1939 Big K. graduate,1
Deputy Minister,1
6th High letter,1
1981  worker,1
national Dąbrowski Organizer,1
Individuals Governing Trade farmers,1
1969 National case,1
Catholic Roman Catholic He,1
W,1
1985 agency 1989,1
1979 Polish State 1981,1
Opole He,1
2014 born24 He,1
1988 Vice he,1
S John Paul he,1
dozen Prints).In VIII,1
photos,1
photographic  he,1
1951 Roman He,1
perpetrators,1
Poznań health he,1
1.5  years).He,1
1981 President Foreign Committee,1
1984  Knight,1
Krajowaw Solidarity he,1
et al et Gdansk,1
1936 born29 He,1
dozen person discussions).In,1
1982 health 1988,1
there March V,1
1988 d.16 He,1
1962 Abbir he,1
Wojciech Józef Nowicki,1
River employee,1
sewn Tygodnik he,1
1977  1983,1
1986 Lidzbark case,1
hardware water 1980,1
1984 publishing houses participant,1
1975  he,1
6 District sentence,1
historical Colonel Ryszard initiator,1
1989 printer Independence head,1
19 IX 1989,1
20 arson Lenin VI,1
organizer Political founder,1
1980 Founding Chairman,1
Underground Publishers He,1
1992 High we,1
1936 Stefan He,1
1955  Employee,1
then Workers Chairman,1
underground Tadeusz Wołynowicz,1
1953 Sure He,1
1944 born4 graduate,1
Nowacki Stanisław,1
1981 Strike participant,1
III 1952 Lidzbark She,1
XII 1981 XII one,1
Zbigniew Nowek,1
independent Co publications,1
electoral UMK candidates,1
1997  Head,1
high Kazimierz she,1
Marian Marek Working,1
Andrzej Radzikowski,1
Great Committee Civic Committee,1
independent Committee Independent Association,1
Irena Piecychowska,1
S. another,1
1946 Mieczysław He,1
2 Edward this,1
1994 Nszowiek councilor,1
Ryszard Pusz,1
1945 Tadeusz He,1
satirical Gdańsk songs,1
1983 family he,1
1943 Kazimierz He,1
required attorney Ministry,1
1990 Chairman he,1
stray IX Rada,1
S District he,1
1986  VII,1
7th  organizer,1
judgment,1
Marek,1
1981 Gdańsk she,1
monuments he,1
Bronisława,1
1977 Gilowice.zm7 He,1
Wola He,1
Pomeranian Honorary Consul,1
offset trade He,1
1981 Regional Audit Delegates,1
local trade unions,1
Independent Jerzy writing,1
Polish Documentation Documentation assistant,1
2018 zm.23 TAM.She,1
1980 Adolf Dygasiński,1
medium reserve officers,1
interned Social Control Isolation,1
Individuals Governing Trade He,1
Radio he,1
1953 Tadeusz He,1
1985 year judgment,1
1929 Cylinder School,1
1982 Rzeszów;15 1983,1
31 pole aster;17 XII,1
Senior  inspector,1
2000 d.20 He,1
1985 Władysław meeting,1
repressed publishing includingHe,1
legalization St. resolution,1
1986 appeal judgments,1
IX 1957 IX He,1
born29 She,1
1982 Provincial SN,1
also Alina it,1
IX 1953 IX He,1
1987 ATA He,1
harder TN III,1
1989 student he,1
several  hundred,1
1978  February,1
Krajowy he,1
S 1993 Marketing she,1
Aleksander Zbigniew He,1
1984 Zenon he,1
S councilor Lidzbark Warmiński,1
1959 Wiesław He,1
26 III Kolporter,1
1983 year X,1
currently PL author,1
1948 Ligota He,1
Committee Szczecin application,1
Polish information he,1
KOR trade 1977,1
5 Trzcianka;19 VI,1
City I,1
2012 zm.10 He,1
X 1984 Co -,1
10 III November,1
2014 zm.15 He,1
1988 Scientific 1993,1
military garrison court,1
1955 born16 He,1
hero,1
2011 zm.4 He,1
1964 Youth 1976,1
Repeatedly poster shares;31 he,1
Solidarity ZM Organizer,1
1973–1985  Head,1
patriotic poetry Czesław he,1
currently X - XII,1
mainly South District he,1
5 coast.4 III VII,1
"monthly editor note""CDN letter",1
1955 Roman Janusz He,1
1980 Anna co,1
2004 Parish priest,1
V 3 V VII,1
strategic General Auditor,1
1982 Cooperator TKOMISJA,1
1992 zm.26 He,1
10 IX VI,1
Antoni Pajdak,1
13  Signatory,1
5 IX 1983,1
1990 Foundation SOS He,1
Krzysztof Pakoński,1
23 Nowy XII,1
local work 2003).He,1
there owner Restructuring member,1
2  proceedings,1
1980  Nawrot,1
8 Jerzy 1986,1
President.1994 City Council He,1
1981 Factory Committee;Co S,1
11  31,1
constructor,1
Jan Paczyszyn,1
1988–1990,1
creation Maria Curie Skłodowska,1
2003 zm.2nd graduate,1
2005 DecoratedSilver resolution,1
Ponar,1
social  Member,1
1988 Jan participant,1
1951 born2 He,1
III COMMITTEE COMMITTEE 1980,1
1981 transport Founder,1
2010 BBN Chief 2011,1
twelfth Paris he,1
scientific English adviser,1
1993  Republic,1
Nowy He,1
Robert Eugeniusz Naklicki,1
pastoral co -organizer,1
1981 Co representative,1
1983  January,1
now on26 Ukraine).He,1
Individuals Government Trade Solidarity,1
1962 born18 He,1
Andrzej Wiesław Peciak,1
workplace;1980 1981 Bydgoszcz he,1
painting passwords,1
1983 District dismissal,1
Andrzej Ostrowski,1
deserved Polish culture,1
Marek Pawlak,1
J. he,1
also families).In VI,1
III 1932 III She,1
"Kolporterka Solidarity Censorship"");She",1
Alicja Ewa Pawlusiak,1
Józef Pawlus,1
includingMilitary documentary each,1
underground  IV,1
1982–15  VI,1
1981 railway initiator,1
poster,1
2 District 1986,1
Ryszard Pawłowski,1
1976 railways State organizer,1
1984  it,1
KW MO crypt Wedge;1983,1
1958 on20 He,1
1987 Communal Civil head,1
3 Gate pacification,1
exempt.1986 1987 parish priest,1
1987 radio he,1
Bohdan Papiernik,1
1960 Grzegorz Stanisław He,1
2 Clinical Hospital organizer,1
1977 Democratic Traffic Cooperation,1
1965 III participant,1
Union Solidarity Lublin,1
recipients,1
1994–1998  Councilor,1
1995 manifestation he,1
26 Zielona VI,1
Bogumił,1
home,1
Jan Stanisław Otto,1
Founding Bureau,1
Zakopane.1998 1999 Nowy member,1
1982 I She,1
Rzeszów Solidarity,1
Jerzy Pacific,1
3  poems,1
1988 Andrzej He,1
"Trade Unions""Solidarity Tygodnik Mazowsze",1
1981 PIn Delegat,1
Antoni We,1
Sławomir He,1
2001 City he,1
Teacher Incial Commission,1
Mariusz Muskat,1
Eugeniusz Pallotinum Dutkiewicz).Kolporterka,1
few communication equipment Editor,1
2010 II IX,1
Trout K. He,1
called wage standards).1958,1
electoral trade member,1
Repeatedly printing revisions,1
Kolporter underground Solidarity Solidarność,1
economic Printing Head,1
1980 Wojewódzki they,1
1983 poster case,1
High Solidarizing,1
1982 Kolporterka 1983,1
K. Dąbrowa He,1
health condition,1
1981  Delegate,1
Factory Secretary,1
1982  letters,1
1995 Ząbkowice Labor task,1
1970  he,1
2009 Adam University,1
IX x 1981,1
social EC IX,1
historical Poznań volume,1
1981 trade Activists,1
Chw Mo he,1
times  Commission,1
20  VI,1
record Poland He,1
2  Mysteries,1
' August 70.Repeatedly,1
2006 Management Advisor,1
8  he,1
1980 student renewal head,1
4 III 1982,1
there zm.17 He,1
1989  Organizer,1
1989 born31 He,1
2003 Management councilor,1
km Stary 1985,1
III Rusw Ząbkowice,1
Professional  internship,1
17 years II,1
1986 Zbigniew Expert,1
2002 FoundationStefan Head,1
1951 Jelenia He,1
journalistic W. member,1
1987 crypt III-20,1
1963  Psychologist,1
"Self Governing Trade Solidarity"";She",1
15  1982,1
1967 Piotr He,1
own  apartment,1
first Civic Committee,1
Stefan Niedzielak,1
investigation,1
1983 Karkonoski National 1988,1
1945 K. Biała He,1
Action Participant,1
Kazimierz Bogdan Corner,1
Journalist,1
Maria Teresa,1
1983  August,1
spatial planning he,1
Several dozen times,1
Marek Andrzej Natusiewicz,1
2001 Supervisory Board,1
Andrzej Sea,1
free Radcowska Chancellery;1989 he,1
then Julian human,1
Jan Mosiński,1
Solidarity  i,1
trade unions President Lech Kaczyński,1
1947 Szczawno He,1
6 months December,1
Stanisław Pozyjko,1
1986 Mieczysław Organizer,1
not Nowy Plenipotentiary,1
III 1982 WatchII Ministry,1
13  December,1
1991  Worker,1
Wojciech He,1
80 agency participant,1
1979  1985,1
domestic  he,1
1966  Education,1
1942  She,1
1983 Co -,1
1985 Ostrów investigation,1
1974 Farmer Chairman,1
4 Marian fold,1
1946 M. He,1
"underground SW Communication"";Organizer",1
Tadeusz Włodiński,1
1982 Gdańsk he,1
