,target
» Farmers Rural Solidarity,1
1990 Commission Nszowiek Professional,1
1981 negotiation founder,1
early trade union retirement,1
briefly  L.,1
independent Przemyśl District press,1
1989 Rzeszów framework,1
Nowa Dębie,1
2006  Warsaw,1
Helvential KPN publishing Warsaw,1
2003 Senior City Council,1
universal  Vilnius,1
1981 Gdańsk Shipyard,1
Stanisława);1985 1988 Parish House,1
church historical church committee,1
communal construction Yarbow,1
BishopLublin metropolitan,1
2010 Russia).1965 Warsaw,1
"Dziennik"";Member anniversary celebrations",1
Międzyrzec Podlasie,1
VIII Crypt sauce,1
own von website,1
car confiscation,1
PO.From,1
1947 Polish Philology,1
1988 Gdańsk ShipyardLenin,1
Multiple  apartment,1
1976 Kung Fu school,1
S Case hiding,1
prison penalty,1
Central Self Region,1
Provincial Catholic Action,1
there SOR KRPT.Termites,1
4 Media 2004,1
high rise service skylight,1
Witold Merkel,1
co Brydziew,1
S Provincial Board,1
Individuals Government Trade Individuals,1
1994 State Treasury,1
parish . Mieczysław Trzcianie,1
2010 Podkarpackie Veterans,1
XLi High Warsaw,1
young buildings script,1
Social Action job certificate,1
11 Wojciech Ziemieński,1
mechanical Nowa Dęba,1
1939 Poznan Technology,1
S Church meetings,1
Committee ZR Czarnków,1
underground Tygodnik newsletter,1
1997 Gdańsk Technology,1
Polish Gdańsk,1
again Aleksander BBN,1
1987 Ostrów Saint,1
artist UNESCO,1
1992 Provincial Cultural Gdańsk,1
professional Mkomite Civic nicheon,1
2012 PGE 2017,1
Stage Artists Rajsk,1
exhibition Polish Paris,1
trade union premiums,1
St. Kalisz,1
Polish Czechoslowean 60s,1
1986 trade S,1
active Gazeta Wyborcza,1
literary Literary notebooks,1
Connecticut College Polish Scene Artists,1
1981 club Ibid,1
religious Lady Lublin,1
economic Institutional Change,1
farmers,1
dozen Soviet Union,1
WUSW KE aircraft,1
Agency Mazowsze S,1
1982 SOR KRPT.Beetle,1
Great Piotr Łukasz Poland,1
1995 . UOP Interior,1
1984 Assistance Kalisz,1
1981 Podbeskid region,1
1981 Jastrzębie Szerokiej,1
high Penual Economic Chorzów,1
2008 Teksid Iron Skoczów,1
SOS SOR KRPT.Group,1
"authorities"";Repeatedly protest revisions",1
1972).III Polish Marine Shipping,1
state  activities,1
Vocational Courses Vocational carpenter,1
Individuals opposition activists,1
S road Karchwacz,1
Nasz Dziennik,1
permanent Polish Radio employment,1
independent RYTM publishing house,1
2003 Armii Anders,1
Anna Tadeusz Walendowski,1
1981  Uherce,1
6 Court.1983–1989 SW homeland,1
Solidarity Trade Chełm,1
pavement Supreme Administrative Warsaw,1
1970 Bovine Breeders GM.Koźminek,1
Ukraine).A Adam Poznań,1
Committee VIII S,1
1990 Socialist RD Wrocław,1
dozen Miniature Radio Receivers,1
local Konin strikes,1
underground publications.1988 offenses,1
1990 Sor Krypt,1
1990 Krazowy Region Rzeszów,1
1984 Warsaw Sociology,1
second Radio S,1
1999 Nowy Strasbourg,1
XXIII High Warsaw,1
Underground Radio Underground S,1
currently Rural Warsaw,1
neurological Sintur Invalid Cooperative,1
Gen. Mieczysław Smorawiński,1
S Founding Turku,1
1973 Leather Industry Asko,1
Mehofferów Kresach,1
underground strike correspondent,1
graduate Polish Sciences,1
Sejm China,1
political Association thoughts,1
Government Plenipotentiary Strategic Energy Infrastructure,1
Lech autumn,1
Christian Culture,1
1981 Kaliski editor,1
poetic  Europe,1
1987 Independent Social land,1
2014 Management Board,1
Tarnowskie Góry,1
sanitary Mkdomisja S,1
1988 St. employment,1
2007 Poznań European Culture,1
1943 Poznan Technology,1
Southern TZR Kalisz,1
2001 Worker pension,1
1980 Tomasz Mroz,1
Independence Service 1981,1
1966  Szczecin,1
KW MO SOR KRPT.Termites,1
S  SB,1
1952 Wrocław Technology,1
other WBPP WS.its functioning,1
2 crypt sauce,1
1989 SOR KRPT.Director,1
1988 Factory registration,1
Warsaw Scientific Society,1
vocational  Lubin,1
1985 warning conversations,1
vocational  Jawor,1
1981  Głogów,1
1981  Wronki,1
Solidarity Lesser Poland,1
many Juliusz Literary,1
European Integration,1
2012 National Movement Activist,1
Delegate Lodz land,1
underground Biuletyn Lodz,1
vain,1
1987 High School Warsaw,1
technical  Toruń,1
official Toruń WiP,1
2008 sailing regatta,1
underground Pomeranian 1989,1
priestly BP hands,1
unknown  perpetrators,1
2  1990,1
mechanical  Siedlce,1
committee Karol Mostostal,1
Jelenia Góra,1
19 Jelenia SOR,1
1989 Democratic Party,1
technical  Włocławek,1
second  year,1
auxiliary Catholic Episcopate Ukraine,1
social Trade security,1
Technical Secondary Jarosław,1
hard  Pucka,1
earlier self employment retirement,1
2014 Jagiellonian sociology,1
1985 District rights,1
1990 deputy Przemyśl,1
2000 Polish Psychological Society,1
L. Wałęsa office,1
23  VIII,1
interned  revision,1
technical  Suwałki,1
fire,1
afterA. Szczecin group,1
departmental strike shipyard,1
EC rich,1
Farmers St. Maksymilian S,1
Catholic Intelligence Lublin,1
S . H. Nowik,1
III SOR KRPT.Ethos,1
written Sejm Polish opinion,1
Mechanical Lublin,1
Gdańsk University Student Gdańsk Technology,1
times  MO,1
press office First Commission,1
1989 Polish Photography manifestation,1
many co S,1
President Gdańsk Poland,1
1980 factory structures,1
military  airport,1
provincial Aid society,1
Committee A. Szkaradka,1
official Municipal Military Bydgoszcz,1
1996 National Railors,1
1966 Earth Zoology,1
practice,1
1982 Nowa apartment,1
economic SB inspiration,1
underground Nszowiek Professional,1
Municipal National Council,1
GR.V EC,1
high Nicolaus Opole,1
political protest prisoners,1
underground Józef Krakow,1
Provincial Office,1
culture,1
plants;1982 1983 St. Jadwiga Złotoryja,1
Złotokos copper basin,1
vocational Textile Machinery Factory,1
2002 RS AWS,1
clothing technical clothing Wrocław,1
committee UMK UMK,1
1986 Apina Biernatowo,1
European Solidarity Gdańsk,1
1970 Economics Organization,1
commercial Gdańsk Gdańsk,1
parents farm,1
underground Kazdzieon.1984 skylights,1
humanitarian Church Italy,1
2010 St. retirement,1
renuncional  Paris,1
born29  Katowice,1
committee Kozielska Earth,1
underground Mazovia region,1
"also including""Małopolska Hutnik",1
day  beatings,1
Technical Secondary Turoszów,1
S  dismissal,1
25 . Adam years,1
several Literary company,1
High Szczecinek,1
2000 Agricultural retirement,1
technical aircraft engines,1
1986 Polish State Głogów,1
1981).A Cracow Technology,1
1997 TVN programs,1
rolling Ostrów Wielkopolski,1
1985 District Świebodzin,1
2016 Bielsko 2011,1
religious St. others,1
Solidarity';Azos works organizations,1
2000 Region Pro retirement,1
new  place,1
Publication Now Kolporter Publication Małopolska,1
1993 socio Gdynia,1
1980 Higher Economic professor,1
also port articles,1
Mechanical Technical School,1
Free Worker,1
Semper Fidelis,1
larger Greeting Dzierżoniów,1
vocational  Trzcianka,1
packaging government committee,1
Individuals Opole Lubelskie,1
1981 Network Stomil,1
1987 Jelenia Góra,1
2008 Poviat Lubań;Since,1
economic technical school,1
1981 trade union activities,1
industrial  Łódź,1
Free SW prints,1
food industry Wrocław,1
1990 Catholic Lublin,1
political B. Army soldiers,1
political Catholic Friends Lublin,1
national advocacy 1981,1
underground 17 Olsztyn,1
13 EC crypt,1
1981 Toruń ZR,1
Kuyavian Palatinatus Cuiaviano PomeraniSis,1
High Żagań,1
1981 Lower meeting,1
occasional publishing houses,1
1990 World Wild retirement,1
1996 sickness 2008,1
FSO Ibid,1
25th III Poznań,1
S Jerzy Radom,1
48 St. Andrzej offenses,1
IV1981 Working Commission,1
clothing technical clothing Wroclaw,1
low voltage Przemyśl,1
2000 Terrain retirement,1
informal KS Waldemar Głąb,1
graduate Polish Philology,1
poetic  German,1
railway technical railway Krakow,1
Higher 1964,1
S Solidarity Farmers,1
Father Tadeusz country,1
RUD mining Lubin,1
1985 year revision,1
mechanical school inBrzeg Świdnik,1
WSK PZL,1
private service company,1
1988 Parking caretaker,1
Secretary Gdańsk Shipyard,1
TechnologyMechanical Gdańsk technological,1
commercial Market Gdynia,1
printing machines,1
1978 art history,1
currently ZAIKS authors,1
Parisian Provincial diary,1
vocational Polish State Gdańsk,1
FacultyIIIA SOR crypt,1
S Tarnowskie Mountains,1
S L. Gdańsk,1
Siedlce KPN Podlaska,1
1982 Szczecin Świnoujście,1
1982 Mechanical Gdynia,1
2009 ABB 2009,1
2008 World Neurology,1
regional Social Health Region,1
Water Melioration Tam,1
annual Jasna Góra,1
Christian Democratic Christian Siedlce,1
WatchIII SOR KRPT.Congress,1
citizen opposition program service,1
Solidarity National Niezniazek,1
Huta Lenin,1
2007 Services verification committee,1
PG,1
2017 Polish National Foundation,1
St. Gdańsk,1
1987 Student Suffolk Boston,1
1981 Zielona IV,1
1969 Work Private Warsaw,1
Scriptures Professional Nevils,1
2009 Great Britain,1
SUSW SOR crypt,1
1987 Rzeszów Region,1
IX 1989 EC Krypt,1
independent Władysław intention,1
Ashoka Association,1
pastoral Archdiocesan Family 4,1
S Mazowsze Warsaw,1
governing Catholic Intelligence Siedlce,1
Economic retirement,1
1922 Jagiellonian PhD.,1
unjustified  workshop,1
Kociewie Starogard Gdański,1
educational B. PRO employment,1
2007 Sviam Świętokrzyskie Association,1
S South Greater Poland,1
S Energy Operator pension,1
JTF members,1
2012 Polish Scene retirement,1
1935 on26 Warsaw,1
New Warsaw Przedsiębiorstwo record,1
new Publishing book,1
Ukraine).A Main Warsaw,1
two Medical Zabrze,1
Lublin KPN Word,1
cosmetic Cosmetic 2009,1
Knitted Wrocław offenses,1
1989 Holy Spirit,1
most marriage crises,1
vocational High Głogów,1
1974 Głogów construction enterprise,1
1988 SOR KRPT.Delegate,1
Commission Courier books,1
Nowa Huta,1
1988 student town,1
computer company,1
2000 Jagiellonian leaveRights,1
1981 Anna Walentynowicz Gdańsk,1
5 District 1947,1
underground John Lityński,1
8 school books,1
2002 Nike Literary Award,1
goggy,1
11 crypt sauce,1
metallurgical Lubin Lubin,1
Committee PBK Lubin,1
Provincial Tennis Sports Polkowice,1
Znt strike Gdańsk,1
PBK Prada Poland,1
1981 Pilskie ZR,1
repeatedly released.1982 pension,1
underground National press,1
political Jagiellonian sciences,1
first Rzeszów Commission,1
times  apartment,1
professional Starogard Gdansk,1
1989 Starogard Gdański,1
Scientific Warsaw,1
Solidarity Publishing library,1
Weekly Tygodnik Puławy,1
currently Gdańsk Technology,1
electronic Gdańsk Oliwa,1
primary school Zakrzów,1
underground Author writing,1
1981 27/1 1981,1
Direction 1983,1
1987 XI Interior,1
advisory trade Warsaw,1
contemporary  art,1
1980 Lipcear S,1
Andrzej Stefaniak,1
also Z. Nowka MO,1
1962 Szczecin 1970,1
2000 Pomeranian Business retirement,1
week factory Podhale,1
1995 Polish Electrician Association,1
2008 Nowy Targ,1
loyalty,1
agency news,1
there Business Management,1
national self education activity,1
2000 Golden Merit,1
2007 directorOffice loan,1
1991 Postgraduate 2013,1
KS MO KS crypt,1
Social Science,1
economic Club Catholic Mielec,1
WSK PZL Mielec,1
City Mielec,1
Committees Founding S,1
1983  June,1
Cuban John Paul opposition,1
Dublers;1985 SOR KRPT.Confederate II,1
1989 Zielona Góra,1
1994 Zielona Góra,1
main Gdańsk Brzeźno,1
factory radio,1
underground Tadeusz Pluciński,1
silver Silver Merit,1
1985).A Catholic Lublin,1
Powązkowski Cemetery,1
few  days,1
invalidary field work,1
2011  Heaven,1
Parisian emigration publications,1
1980 Mkdomisja Zakładowa Gdańsk,1
patriotic Józef Piłsudski Majówka,1
National Education Committee,1
1 Secondary School Wrocław,1
electronic technician Wrocław,1
independent strike guard.1980 press,1
production Energetyki Wrocław,1
1989 trade Katowice,1
political Provincial Consulting Katowice,1
Śląsko Dąbrowski Freedom,1
SOR KRPT.Mecenas,1
agricultural  Żary,1
democratic Radio Tamż.1971 side,1
Zielona authorities,1
technical Tadeusz Radom,1
quarterly years.1987 Concept,1
Social self Siedlce,1
1993 Piłsudczyk Union,1
Copper Rud Lubin,1
1980 trade miners,1
1989 PBK Lubin,1
mentally WOD Ząbki,1
leaving opposition residence,1
harder Charity Britain,1
basic mining Wałbrzych,1
Jagiellonian Association,1
pastoral St. Jerzy,1
2005 Polish Warsaw,1
Repeatedly Lądek revisions,1
1981 AŚ Warszawa Mokotów,1
Honorary Polish Geopolitical Society,1
1999 Publisher Międzymorz,1
Polonia 1987,1
District court,1
vocational  Suchedniów,1
responsible strike yard,1
editorial Evening Equipment,1
1  Warsaw,1
Professional mining work agency,1
then Main Medical pressure,1
2007 Therapy Therapy Gdańsk,1
Kurzajewski Wiadomości Day,1
vocational  Grybów,1
again President region,1
1980 Szczecin leaveElectric,1
delegate Nszowiek Professional,1
work.1987 Worker Polish Sciences,1
SOR KRPT.Easm,1
basic Professional Wałbrzych,1
Transport Construction Wałbrzych,1
pastoral Dolnośląskie magnesium work,1
next Lower Commission,1
plastic  plants,1
searches.1981–1989 Cezary Miżejewski,1
22  VII,1
Economic EDWARDA GIRKA,1
Lower Silesia,1
km Stary residence,1
Polish Stage retirement,1
48  searches,1
1982 Warsaw health,1
Wieruszów Pfleiderer Prospan SA,1
Factory Pisz,1
1949  Łomża,1
political propaganda extremists,1
various Jarosław country,1
1956 Adam Poznan,1
1985 Car crane Kościerzyna,1
deed Incorporate Provincial Krasnystaw,1
1983 employment 1995,1
1947 Jagiellonian 1970,1
69  cooperation,1
general loan bank Giżycko,1
S  initiatives,1
isolation center.1982 1989,1
SOR KRPT.Phoenix,1
1981 First High Wałbrzych,1
2000 Institute Research Wałbrzych,1
1986 IV SOR,1
Meblex Kępno.1999–2001 retirement,1
walls,1
S liaison activists,1
strict Rzeszów Technology,1
corruption PRUNDICS Footwater retirement,1
false Jagiellonian coast,1
Holding Founding Committee,1
Monographs).1988 Diocesan Culture Council,1
co Printer CDN store,1
Warsaw.1994 1996 Stu Committee,1
1990 Catholic Intelligence Siedlce,1
1989 Charity Social Siedlce,1
Radio Radio S,1
2001 Polonia Restituta,1
Delegates Sauce,1
then Huta Hutniki,1
2001 Lechia City Gdańsk,1
independent co magazine,1
1988 Maria Kolbe Poznań,1
1947 Jagiellonian University,1
Special Rzeszów,1
1978 trade Wronki,1
Marc Color,1
many warning talks,1
prosilial Hematology organizations,1
Individual Farmers Individual Solidarity,1
various Wrocław opposition,1
leading  PZPR,1
magazine A Reflections,1
Secondary Poznań,1
Electrical Engineering Industrial Technology,1
underground Gdański Region,1
90 Ostrów Wielkopolski,1
ZNTK,1
Kalisz SOR KRPT.Activist,1
Special Home deserved,1
1979 Self Nation,1
1967 Jagiellonian Wroclaw,1
Górnik Polski Górnik Katowice,1
1951 Gdańsk Technology,1
shipoconov  card;In,1
1984  employment,1
1981 Student 1991,1
2007 Anna Kurska,1
21 years detention,1
1988 Plastic Gdańsk,1
1944 Hucjk K. Wroclaw,1
i,1
othersWith,1
annual KS.Jerzy Popiełuszko,1
finished  offenses,1
high Adma Kalisz,1
cultural Italian Republic,1
2011 Pio Prayer retirement,1
S-80 factory radio,1
private metal Kosaków,1
subsequently Resort Gdańsk,1
2000 chairman);Associations retirement,1
Delegate Lower ZR,1
1939 Gdańsk Technology,1
1989 Polish Bp,1
2007 High Tczew,1
Solidarity Pruszcz Gdański,1
Northern California,1
KRPT.Candle;1981 1989 crypt sauce,1
labor SG,1
participant Intermediate Strike Committee,1
2002 Senator Rzeczpospolita Warsaw,1
Great Poland,1
Christian National Easter culture,1
day retirement,1
thoughtsLech inGdańsk Bądkowski,1
1980 Gdańsk Technology,1
S trade union activities,1
religious St. Kazimierz Chełm,1
history District Court Sandomierz,1
religious Financial Wrocław,1
repressed Lower activists,1
private Repressed retirement,1
1972);A Public Szczecin,1
Krupce,1
1988 K. Maków Podhalański,1
Pomeranian  foundry,1
"Solidarity trade unions""R.",1
1981 Association .,1
1978,1
gardens,1
1987 Information Technology Gdańsk,1
own Sanitary Installation business,1
foreign election staff thighs,1
religion,1
2007 Jan Lublin,1
Economic Great Britain,1
2007 Gas Lublin,1
1985).A Second High Opole,1
conceived sight children,1
1996–1999 Opole AWS,1
WatchIII crypt,1
monthly Provincial Restraint,1
1986 Exmp Kielce contracts,1
7 TZR retirement,1
1991 COLLECTION COLLECTORS POLSTCA,1
mass poster media,1
Polish years 1989,1
highest control chamber,1
1980 Gdańsk shipyard,1
2006 Krzyż retirement,1
1989 Distinguished Culture activist,1
PiS.2003 2006 Juvenile District Szczecin,1
Szczecin;Repeatedly Making monuments revisions,1
personal  information,1
Economic Technical Ostrołęka,1
Switzerland,1
Polish Sailing USA,1
graduate Social PWR,1
Polish International Book Frankfurt,1
social Polska Sciences,1
European.2004 2009 Human Advice,1
domestic European publications,1
1989 Solidarity Solidarity France,1
magazine Puck Puck,1
1992 Vice President,1
Adam Poznan,1
quarterly Catholic Social Association,1
honorary Life Defense Movements,1
technical Zduńska Wola,1
agricultural New Sącz postulates,1
1939 Basic Agricultural Marcinkowice,1
1987 Polish Caricature Artists,1
1981 Katowice ligoti pannikach,1
11 Political Krakow,1
Grade Warsawim Katowice,1
cultural IPN KŚZPNP branch,1
2017 Golden Freedom,1
independent Fire Scouting Association,1
1982 Sor Krypt,1
Russian Faculty Jagilarski University,1
Russian Karol Pope,1
striking Humanities Society,1
Search warning flat,1
historical Radio Color,1
Basic Training Tarnogród,1
VII,1
1981  Tarnogród,1
7 Evangelical Mikołów,1
Grade Physical Education Krakow,1
1991 Higher Trade Katowice,1
2017 Party Agreement,1
KRPT.Wader Bielsko Curia,1
Wood Radomsko,1
vocational  Katowice,1
electric Bielsko Biała,1
ID,1
improper PZPR Pszczyna,1
2009 Polish language,1
amnesty.1987 press release,1
1953  Philosophy,1
outletXI Interior Ro Krypt,1
informer Modern Humanism,1
high construction school,1
Mo SOR KRPT.Conspirators,1
Cracow Fire School,1
Krakow.1970 Kraków Czyżyny,1
1991  USA,1
studied Continuing Warsaw,1
Biuro Independence Front,1
1984 Leszek Gorbaczowa,1
electoral KPN elections,1
fifth Catholic Intelligence Moniko,1
magazine L. Interpellations,1
1980 Warsaw Janusz Majewski,1
political MRADA groups,1
repeatedly WIP offenses,1
Chinese Solidarity PL.Tienanmen,1
2014 Social Justice,1
1 Higher Pedagogical Częstochowa,1
Warsaw.1986 1989 Casual works,1
employed Karol Wojtyla,1
1980 Government shipyard,1
permanent Świetlik Popoliwielków Gdańsk,1
organizational Central Planning team,1
industrial Częstochowa construction,1
1981  defective,1
underground Warsaw.1980 1981 May,1
1973 Lodz Lodz,1
award time them,1
social Home Institute,1
independent Medical student,1
KW Mo EC KRPT.Marian,1
1990 Catholic Intelligence Poznań,1
1986 aid Bulletin,1
publications.1980 1984 student Catholic Lublin,1
Lublin.1984 1985 Lublin Theater Studio,1
1989 Founding Committee,1
martial Repressed Lublin,1
grade Gdańsk shipyard,1
cooperative  apartment,1
VIII High Katowice,1
1981  6,1
doctorate,1
Christian Ostrów others,1
4 Kalisz insurgent,1
theological  Bialystok,1
Kalisz EC KRPT.Docious,1
vocational  Mysłowice,1
secret Jastrzębie arrests,1
1981 trade court,1
economic Hanna retirement,1
V-2 SOR KRPT.Headperson,1
many Serbian countries,1
Holocaust Family Puls,1
Polish  linguistics,1
2001 coordination Gothenburg,1
degree Students Dam,1
1983 SOR KRPT.Naive,1
care Cracow support,1
independent Cardon Karol students,1
repeatedly printer home,1
2005 Polonia Restituta,1
1981 Social Policy Council,1
editorial Geology Polonica,1
private Krakow initiative,1
1979 Jagiellonian philosophy,1
1981 Cultural Events,1
scientific  employee,1
2018 National Education Committee,1
29 SOR KRPT.Hero,1
underground Independent Publishing Krakow,1
polygraphic Professional Nystezek,1
16 Gdańsk treatment,1
Jan Democracy Defense,1
trade Warsaw,1
interned  children,1
Jagiellonian Krakow,1
Hulajpole Sopot,1
2014 Jagiellonian Slawistyka,1
Marian Terlecki,1
Gloria Poland,1
then Starogard Gdański,1
1991 Scientific Council,1
City 2002,1
technical  Kęty,1
concrete Worker mixer,1
books,1
2000 Polish Writers 2002,1
photo S,1
party PAX list,1
Automotive Technical Szczecin,1
martial Gen. Wojciech law,1
2003 contract retirement,1
"""Education Social Educational Society",1
1988 Russian Research Harvard,1
1940  Warsaw,1
Stalinist Personal Wrocław,1
KSMO SOR KRPT.Bieszczady,1
1984 Primasual Social Warsaw,1
48 aid hours,1
university Medical Fr,1
- Lądek Zdrój,1
MASTER PWR Tire PZPR,1
Repeatedly  revisions,1
1980 occupation strike,1
Grzegorz Ostrowski,1
1982 stool guard,1
together Leonard Weronka,1
Datural Dental Krakow,1
2013 City 2013,1
Organization  S,1
1981 Warsaw Universities,1
blind Warsaw.1986 relationship,1
Financial Reactivated Association,1
KSMO SOR KE KRPT.Quotary,1
sanitary craft Warsaw,1
second degree music Szczecin,1
Przedsiębiorstwo Gospodarki Bierutów,1
close  Rzeszów;Kolporter,1
Collegium Slow,1
doctoral opposition activities,1
1985 publishing companies,1
Polish  seminar,1
1961  1966,1
1946 Military Technical Warsaw,1
1993 KPN pension,1
leavePolish Jagiellonian 1975,1
IPN,1
1968 Higher Agricultural Krakow,1
actual  Scriptures,1
1998 District Dąbrowa,1
proceedings,1
fundamental car Szczecin,1
VIII 3 strike strikers,1
Repeatedly  offenses,1
KOR COMMITTEE COMMITTEE COMMUNITY,1
Editorial Encyclopedia,1
2.5 twoSuspension sentences,1
citizenship,1
1980 High School,1
5x5 association,1
Consumer Consumer Krakow,1
1952 Rzeszów Technology,1
underground Janusz writings,1
regional courier Zdzisław bird,1
Maksymilian Krakow Mistrzejowice,1
KW MO SOR KRPT.Intruder,1
frequent job changes,1
sufficient  crime,1
othersIn Polo production Syców,1
fundamental construction Pyrzyce,1
1981 hunger Kalisz,1
Education Penual Pedagogical Wrocław,1
Pedagogical Wrocław,1
serial round table,1
grade Factory Committee;prey,1
Audiovisual Manufacturers Tami,1
III-1 Professional Niezniazek,1
young St. Józef,1
working Pedagogical Kielce;In,1
21st,1
list).1993 2010 Regional Audit,1
1980 Polish Youth,1
2006 Polska District Pomeranian,1
New Building,1
food  Gdańsk,1
then Patronage Care Association,1
1980 d.13 PhD.,1
48 Madrid revisions,1
Delegate National Niezniazek,1
Polish Giant Mountains,1
communist Antitotal table authorities,1
Lithuania,1
electric  school,1
secret PPN publishing houses,1
basic car Włocławek,1
Gryf IV magazine,1
gainful gauge Germany,1
Cuban Antitotal table pension,1
1927  History,1
former Party areaSycowski,1
Cooperative Cooperative Self Syców,1
1990 gypsum Wierzbica,1
KRPT.Bero IX Rondo,1
1989 National 2007,1
high  Chełm,1
pastoral Charity Lubin,1
1998 Main retirement,1
DYR.technically.in Sp.from o.o.in Gdansk,1
Repeatedly Gaudium revisions,1
high Wojciech schools,1
third round table,1
Angular Cracow Technology,1
1972 Catholic VI,1
Katyn side Poland,1
religious Sacred Łódź,1
1976 Polish Radom,1
general  province,1
Zielona Głogów,1
supplementary Lausanne Switzerland,1
1981 Jastrzębia MKMISSIA,1
internal Medical diseases,1
Trade Solidarity FSM,1
III 1946 Cracow Technology,1
Design General Rzeszów,1
Commission Nowy Sącz,1
1974).A Jagiellonian University,1
Philosophy opposition activities,1
faithful Kadrówka service,1
political III 1992,1
1959 Maria Curie Law,1
1981 Student Strike University,1
underground Zygmunt Kozicki,1
1994 NIK Freedom,1
1941  Kowl,1
actual Northern Power Plant,1
Automotive Stockholm,1
SC trading Szczecin,1
1961 Połczyn Szczecin,1
scientific Warsaw courses,1
1986 SOR KRPT.Novel,1
1950 Warsaw Płock,1
48 John Paul Poland,1
1980 Factory Żywiec,1
physical  worker,1
high  Zamość,1
2013 Evangelical Krakow,1
1989 Brzostów K. farm,1
high province Warsaw,1
Scandinavian Warsaw Wilanów club,1
KS MO SOR KRPT.Lawyer,1
1971 Cracow 1979,1
Research chemical equipment industry,1
1st Lesser Poland Tarnów,1
1992 Elemental Particle Geneva,1
Netherlands Public Warsaw,1
specialist Physics Research,1
young interconnection discussion solidarity,1
Chemical Łódź,1
economic trade reform,1
committee Jerzy Dłężawnski,1
car Poddębic,1
1981 Chairman Professional Niejrezek,1
S Silesia Wałbrzych Province,1
newspathed construction combination,1
KW MO SOR KRPT.Painters,1
Photographic Legnica,1
sixteen Underground process,1
Higher Schools Catholic Lubelski,1
vocational Textile Machine Factory,1
smoking Auto Poland SA,1
1998 RS AWS,1
III1983 months amnesty,1
independent trade BulletinDolnośląskie,1
1990 Bytom Odrz,1
colleave,1
old Jan Kozłowski,1
Individual Farmers Professional Neviles,1
Energy,1
early evening retirement,1
nationwide scout organization,1
Rajmund Bolduan Rajmund flames,1
Now Kolporteżowa Lublin,1
Congregation Regional Audit Committee,1
independent Bydgoszcz activity,1
SOS SOR KRPT.Advice,1
to Working Crew,1
FacultyIII II Crypt,1
cooperative Jerzy Giedroycia,1
vocational Polish school,1
Member Executive KP Rebirth,1
structures Saints Apostles Legnica,1
1955 Maria Curie Lublin,1
1975 Polish State Konin,1
Technical Secondary Konin,1
SOS  SOR,1
2008 Main Justice,1
legal Aleksander themes,1
parliamentary  retirement,1
rule,1
Third RusW EC Krypt,1
branch Enterprise TWD company,1
1981 SOR KRPT.Game,1
chemical  school,1
Izabel Dyduskecka).An Warsaw churches,1
"Zakładowa S"".1980 Gdańsk",1
Energy National S,1
1936 Warsaw Technology,1
1980 Bielsko Biała,1
1983 Bielsko Biała Wapienica,1
Repeatedly 7 offenses,1
2008 Region Pro Patria,1
1981 John Paul II,1
S railway structures,1
then District Ostrzeszów,1
vocational Nowy Sącz,1
one day occupation Znt,1
registered Nowy pension,1
2013 Lesser Poland Solidarity,1
main  Szczecin,1
IV 1989 Podkowy Leśna,1
Polish Wärtsilä Tilburg,1
2000 Polish Army,1
1 Fabryczna District prison,1
official coast workers,1
cultural  Poland,1
internal,1
conditionally  punishment,1
underground meeting structures,1
certified Chartered Ontario,1
26 1st Commission,1
head District Giżycko,1
1980 IX High Gdańsk,1
sea greeting writage,1
musical Jan Englert,1
S Śląska Opolski,1
1100 Alina Pienkowska,1
1983 District Gdańsk,1
Polish publishing Canada,1
harder Employment Lublin,1
local government Ukraine,1
Commission Regional Audit Committee,1
Solidarity Provincial Council,1
XXII High Warsaw,1
1953 Catholic Lublin,1
1987 factory van Hamburg,1
young meeting libraries,1
p. V SOR KRPT.Solitary,1
1979 Scientific Aid Factory,1
12 railway companies,1
1988 Zelos Kinetic Piaseczno,1
murdered Papal 1978,1
pastoral trade participants,1
late Professional Nejni,1
occasional Doctor Defectological Psychology,1
single  Poland,1
independent Krakow monthly,1
MO SOR KRPT.Energy,1
Polish Polish Students,1
1st Commission,1
Warsaw high Warsaw Warsaw,1
martial reserve law,1
1943 Maria Curie leaveRights,1
underground Józef pension,1
cerebral Region.1996 2002,1
1996 Catholic National Movement,1
1980 Department Committee,1
human Polish Camera,1
Doctoral Mount St. Anna,1
1995 editor noteNewspapers,1
structures information Krosno,1
surrounding research 1945,1
Silesian Region Silesian S,1
1988 Board o.o,1
1981 Works Committee,1
Central,1
published  Lublin,1
Warsaw Disciplinary Commission,1
front Main Board Rudna,1
1982 SOR KRPT.Education,1
Social Stalowa sociology,1
law Jan S,1
1984  amnesty;He,1
currently d.31 Wroclaw,1
researcher Prison Warsaw,1
1982 3rd students,1
disabled health benefit,1
evil day soldiers,1
1988 print Meetings,1
first 1st Plant,1
mechanical  Lubań,1
Important Aid Committee;The repressed,1
"views),30 VIII",1
less  remuneration,1
1985–1989 Employee climate,1
Technical Secondary Zgierz,1
1998 Self Government Świebodzice,1
penalty,1
1981 Adam Watch,1
9 III 9 age,1
there Higher Engineering Koszalin,1
1969–1988 Szczecin PS,1
several copies).3 SB,1
state II.11 passwords,1
7 VII 1982;fired,1
worker self education RMP,1
1981 trade Dignity,1
SOS KE KRYPT.Goliath,1
member Polish Philosophical Society,1
ZR Presidium,1
1983 Stoczniowiec Sports Club,1
metropolitan  IV,1
