source,target,edge
1977  Casual,newspathed construction combination,Until
3  IX,Commission Nowy Sącz,From
24  IIIA,KW MO SOR KRPT.Painters,WUSW in
second student participant,nationwide scout organization,establish
1993  Lawyer,2008 Main Justice,activist
3 person which,legal Aleksander themes,Matyka
Rzeczpospolita Polska AWS He,parliamentary  retirement,From
2001  plague,rule,is crazy
VII,Third RusW EC Krypt,Mecenas
15  XII,branch Enterprise TWD company,Fired;In
He,Polonia Restituta,awarded
16  XII,1981 SOR KRPT.Game,Developed by
1940 born14 He,chemical  school,graduated from
KOR COMMITTEE COMMITTEE COMMITTEE,"Solidarity trade unions""R.",COMMITTEARS
1982 homeland;1982 1985 Chairman,Pomeranian  foundry,In
25th Medal Heart,Poland,awarded
1982 Gwardian Monastery,1988 K. Maków Podhalański,OO.Capuchins in
pastoral Christian Culture care,many warning talks,called on
biweekly OO Capuchins,2011 Pio Prayer retirement,From
X,1983 SOR crypt,Guardian
Andrzej Piecki,1947  Warsaw,education
member,S-80 factory radio,seconded
1981 KS member,private metal Kosaków,From
1980 Gdańsk member,subsequently Resort Gdańsk,In
Geological Polish Geological member,2000 chairman);Associations retirement,From
Mieczysław Piejko,1944 Hucjk K. Wroclaw,graduate of
independent I II,Delegate Lower ZR,supported
1981  EC,1989 Polish Bp,Matrug
Marian Piekarski,2007 High Tczew,born15
1980 Co -,Solidarity Pruszcz Gdański,printed independent
martial  V,23  VII,Isolation in
organizer,Northern California,In
1980  1984,KRPT.Candle;1981 1989 crypt sauce,Planner
2002 Pienkowska She,professional  study,completed
1979 trade judgment,labor SG,restored to
1981 Gdańsk member,away L. ZR,went
Zofia  she,participant Intermediate Strike Committee,assisted
she,2002 Senator Rzeczpospolita Warsaw,From
Honorary Citizen,Great Poland,decorated with
13  XII,Christian National Easter culture,Isolation in
she,day retirement,From
Adam Pieńkowski,1939 Gdańsk Technology,graduate of
so calledLojall.8 II,21 years detention,released from
X,underground Gdański Region,Scriptures of
first Committee Civic Committee,2007 Anna Kurska,retired.2004
Władysław Piłak,1947 Jagiellonian University,graduate of
organizer,Special Rzeszów,From
1978 trade proceedings,1978 trade Wronki,discontinued
23 St. Maksymilian VII,pastoral St. Warsaw,council
Cross,cultural Italian Republic,awarded
KW Mo Sor Sheet,1983 SOR crypt,Launching
1950 born3 He,high Adma Kalisz,Asnyka in
underground publishing houses,finished  offenses,detained
He,Australia,emigrated to
leading Maksymilian passport,theological  Bialystok,Rector of
independent publishing includingScriptures,publications.1980 1984 student Catholic Lublin,professionallyWith
1982 24 proceedings,Lublin.1984 1985 Lublin Theater Studio,discontinued due
2010 d.2 He,technical  school,graduated from
3 colleave V,1989 Founding Committee,member of
1989  Delegate,martial Repressed Lublin,president of
1935  He,Gdańsk,graduated from
1953  Afferent,grade Gdańsk shipyard,technician in
patriotic White which,1988 strike SG,participant in
1950 Bartosz graduate,1973 Lodz Lodz,historical
independent  SB,cooperative  apartment,inspired
1981  VII,1981  6,interned in
1976  1982,WatchIII SOR crypt,Adam
1997 Nowe he,doctorate,defended
Jerzy case,Christian Ostrów others,co
Gibasiewicz 2009);co owners,4 Kalisz insurgent,Committee with
1980 II-30 KW,Kalisz EC KRPT.Docious,II
Kurier secret trade Activist,annual KS.Jerzy Popiełuszko,Katarzyna
III 1951 Wielka K. He,vocational  Mysłowice,graduated from
1980 Co -,secret Jastrzębie arrests,selected on
Chairman,1981 trade court,From
second Lech participant,economic Hanna retirement,From
1988  1990,V-2 SOR KRPT.Headperson,WiSw in
1981 Theological Contractor,underground Warsaw.1980 1981 May,Fieldorfa
1982 Co -,1987 Polish Caricature Artists,From
Władysław Piksa,1939 Basic Agricultural Marcinkowice,graduated from
Czerniec.1976 Councilor Grn he,independent  publications,founded
12th food he,agricultural New Sącz postulates,conducted
Individuals Governing Trade he,i,ran
second video He,othersWith,collaborated
agency.1995 MT president,Marc Color,Since
III Jerzy 1982,prosilial Hematology organizations,From 3rd
1973 DYR.The National he,Krupce,settled in
governing farmers Rural Chairman,Individual Farmers Individual Solidarity,At
1984  investigation,amnesty,discontinued by
Bohdan Pilarski,personal  information,ruled
III 1950 III He,Economic Technical Ostrołęka,graduated from
Mieczysław who,Switzerland,handed
underground  graduate,Polish Sailing USA,member of
Jerzy Pilecki,graduate Social PWR,graduate of
author,Polish International Book Frankfurt,In
III 1955 III graduate,social Polska Sciences,postgraduate ethical
1989 Voivodship Court,Polish Hungarian Solidarity,In
programmable Political lecturer,European.2004 2009 Human Advice,Polska from
It,domestic European publications,years in
1981  he,1989 Solidarity Solidarity France,paris
Jan He,technical  Gdańsk,graduated from
1970 strike participant,magazine Puck Puck,Head of
1980  organizer,1981 Gdańsk ZR,S
Arkadiusz Fabjanowski Arkadiusz participant,1992 Vice President,From
currently Grodzisk University,Adam Poznan,graduate of
annual Zielona activist,quarterly Catholic Social Association,parish
Senator Rzeczpospolita Polska,honorary Life Defense Movements,member of
1952 Henryk He,technical Zduńska Wola,graduated from electronic
1980  member,mass poster media,participant in
independent opposition it,1991 COLLECTION COLLECTORS POLSTCA,CONTROLLER IN
member,7 TZR retirement,From
III 1950 III He,technical  tech,graduated from
self government CombinanceHuta Stalowa Wola,1986 Exmp Kielce contracts,collaborated
2000 Exbud Skanska 2003,history District Court Sandomierz,Involved in
currently III Ukraine).He,technical  Wrocław,born17
12th Polityka Władysław initiator,religious Financial Wrocław,relegated for religious
1980 strike participant,repressed Lower activists,In
Unions Nszowiek president,private Repressed retirement,From
III 1953 III She,1972);A Public Szczecin,graduated from
underground publishing it,Szczecin;Repeatedly Making monuments revisions,Mazowsze
Hurtownician  manager,PiS.2003 2006 Juvenile District Szczecin,Family
Winner,1989 Distinguished Culture activist,awarded with
Adam Pleśnar,1967 Jagiellonian Wroclaw,graduate of
1974 Farmer Chairman,various Wrocław opposition,Participant of
he,leading  PZPR,join
4 Marian fold,magazine A Reflections,applied to
1946 M. He,Secondary Poznań,graduated from
"underground SW Communication"";Organizer",1988 Maria Kolbe Poznań,participant in
1982 Gdańsk he,Electrical Engineering Industrial Technology,documented
1951 Ostrów He,railway technical school,graduated from
Tadeusz Kolporterunderground,revisions  apartment,publications;Stopped
2016 d.20 He,Ostrów Wielkopolski,graduated from
1956 Ostrów leader,90 Ostrów Wielkopolski,Lecturer of
1985 Ostrów investigation,retirement,From
Trade Unions Trade member,ZNTK,there.1989–1990
1981  1985,Kalisz SOR KRPT.Activist,MO in
60 September conspiracy,Special Home deserved,pension for
70 othersProgram History,1979 Self Nation,inveteran
1951 born5 He,mining Katowice,graduated from
9 District Prison judgment,Górnik Polski Górnik Katowice,released due
next Regional Audit member,2006 Krzyż retirement,From
Tadeusz Włodiński,1951 Gdańsk Technology,graduate of
S ShipyardsKomuny participant,shipoconov  card;In,From
1983;In Provincial he,1984  employment,VI
10  IV,1981 Student 1991,rights of
1981 KS chairman,thoughtsLech inGdańsk Bądkowski,In
VIII,1980 Gdańsk Technology,born19
Discouraged Translation conflicts,S trade union activities,withdrew from
80  She,1987 Information Technology Gdańsk,Intakom Sp.from
13  XII,Polish years 1989,Plenipotentiary of
Vice -Chairman Committee,highest control chamber,transformed into
12  January,1989 SOR crypt,President
Top Adolf He,1980 Gdańsk shipyard,In
11th  Map,"Zakładowa S"".1980 Gdańsk",elected to
13  XII,early evening retirement,In
Legal ZR he,currently ZAIKS authors,Member of
1972 Albert Forster,Rajmund Bolduan Rajmund flames,Bałtycki
1982 port employees).After he,also port articles,collected
He,Bronze Merit,awarded
1949 born14 He,Mechanical Technical School,graduated from
underground publishing Kolporter,Free Worker,released
He,Semper Fidelis,awarded
Biuletyn Dolnośląski Committee Civic Committee,larger Greeting Dzierżoniów,distributed larger
free employee which,S  dismissal,specialist in
2016 on29 He,Technical Secondary Turoszów,graduated from
fine;In District he,day  beatings,led
martial PZPR 1983,"also including""Małopolska Hutnik",made
29 II 1988,GR.V EC,Developed by
1992 d.2 He,high Nicolaus Opole,Copernicus in
main  initiator,political protest prisoners,unions
two Polish Republic,underground Józef Krakow,member of
It,Provincial Office,was
surrounding poster shares,culture,POIW in
plants;1982 1983 priest Stanisław Jakubowski,plants;1982 1983 St. Jadwiga Złotoryja,After
1995 resocialization Chairwoman,Złotokos copper basin,Delegate on
1951  He,vocational Textile Machinery Factory,graduated from
1989 Vice President,2002 RS AWS,seconded
1937 Roman He,clothing technical clothing Wrocław,graduated from
day OO Councilor,Municipal National Council,In
1988 Scholarship Svèrige he,committee UMK UMK,supported
international Polish Historical parallel,European Solidarity Gdańsk,Head of
1964  Employee,1970 Economics Organization,organized
work,commercial Gdańsk Gdańsk,port in
Zygmunt Polanski,1980 Higher Economic professor,graduate of
Free  ESEAY,1993 socio Gdynia,issued
working  DLP,nuclear power Żarnowiec,member of
1986,Publication Now Kolporter Publication Małopolska,editor of
1981  Interned,several Literary company,Notes
2009 Secretary General,Audiovisual Manufacturers Tami,From
MO V WUSW,III-1 Professional Niezniazek,Krypt
1929 born28 She,High School Tam,graduated from
1980 Founding Committee,November,delegate on
1990 hardware she,young St. Józef,conducted
Home she,working Pedagogical Kielce;In,released
1984 District Court,21st,discontinued
1989 VII He,list).1993 2010 Regional Audit,Council of
IX 1959 IX He,1988 Plastic Gdańsk,graduated from
1981  artist,independent co magazine,service
-founder,2001 Lechia City Gdańsk,In
1980  he,then Huta Hutniki,celebrated
25 . Adam assassins,25 . Adam years,detected
beatified Józef Piłsudski,White Eagle,Warsaw).Decorated with
1938 Kuźnica She,High Szczecinek,graduated from
where film screenings,new  place,made
member,2000 Agricultural retirement,From
1949 born6 He,technical aircraft engines,graduated from
1983  1987,1986 Polish State Głogów,Camera in
1962 Stalowa He,1981).A Cracow Technology,graduated from
organizer IX IV,Mazovian 1982 region,nation
Garmond Sp.z o.o,1997 TVN programs,co
1949 Ostrów He,rolling Ostrów Wielkopolski,graduated from
vocational Witold Biernawski,vocational  school,is
Flyer shares,1985 District Świebodzin,plans for
1983 St. VIII,2016 Bielsko 2011,I.
working  DLP,religious St. others,focusing
1981 WARMIŃSKA WARMIŃSKI Member,Solidarity';Azos works organizations,COMMUNIES
Secretary,2000 Region Pro retirement,From
1982  VI,K Sor Krypt,Delegate
Honorary  citizen,Polonia Restituta,awarded
1984,crypt sauce,Wasp
1956 Ludwik He,main  Gdańsk,graduated from
released.1984 removal he,parents farm,interned
Kwidzyn.1979  leaveMat.-Fiz.-Chem.(He,graduate Nicolaus Toruń,Copernicus in
31 Naval Office,underground Kazdzieon.1984 skylights,member of
ZPW removed,humanitarian Church Italy,initiator
2004 Aviation he,2010 St. retirement,runs
1980  1989,FacultyIIIA SOR crypt,Włókniarz
1980 Bureau strived,1981 Professional Nieznie,member of
informal Weekly Mazowsze,S Tarnowskie Mountains,In
1989  VIII,2000 Terrain retirement,From
1940 Krzysztof He,mechanical technical school,graduated from
1960  Frezer,low voltage Przemyśl,Damage
1983,repeatedly  home,handing
1952  She,clothing technical clothing Wroclaw,graduated from
1980 occupation KS,IV1981 Working Commission,Delegate on
repeatedly  VII,1987 Jelenia Góra,dismissed from
I II 1989,2008 Poviat Lubań;Since,retired
XII,WatchV EC Krypt,Barbara
Helena She,economic technical school,graduated from
13  XII,1981 trade union activities,stopped
2018 zm.23 TAM.She,industrial  Łódź,graduated from
1985  Collaborator,Free SW prints,composition of
1943 Kazimierz He,food industry Wrocław,graduated from
Irena Piecychowska,1990 Catholic Lublin,graduate of
required attorney Ministry,political B. Army soldiers,refused
stray IX Rada,political Catholic Friends Lublin,member of
S District he,national advocacy 1981,member of
author,1981 Network Stomil,From
15  XII,underground 17 Olsztyn,arrested
1980  President,1981 Toruń ZR,From
Knight Cross,Kuyavian Palatinatus Cuiaviano PomeraniSis,Decorated with
1986  VII,WatchV Sor Krypt,Band
1944  He,High Żagań,graduated from
7th  organizer,1981 Lower meeting,VI
judgment,occasional publishing houses,Organizer
Committee Civic Committee,1990 World Wild retirement,Delegate on
Józef He,vocational Polish State Gdańsk,graduated from
1981,1996 sickness 2008,retired
which,Parisian Provincial diary,Author of
Marek,1978 art history,Mickiewicza in
monuments he,underground  structures,received financial
1988 Scientific 1993,renuncional  Paris,worker in
Bronisława,born29  Katowice,education
legalization St. resolution,committee Kozielska Earth,participant of
1986 appeal judgments,underground Mazovia region,Wola
IX 1957 IX He,vocational  Trzcianka,graduated from
5 Trzcianka;19 VI,1986 Apina Biernatowo,stopped at
2012 zm.10 He,technical  Łódź,graduated from
1980 trade he,packaging government committee,combined
X 1984 Co -,S Lower Silesia,member of
10 III November,13 EC crypt,Delivery
2014 zm.15 He,1 school Elbląg,graduated from
1983 family he,informal KS Waldemar Głąb,In
1952  She,graduate Polish Philology,graduated from
1981 Gdańsk she,1988 Gdańsk Shipyard,participant in
satirical Gdańsk songs,poetic  German,printed in many
2000 d.20 He,railway technical railway Krakow,graduated from
interned Social Control Isolation,third John Paul Homeland,released.18
Kazimierz He,Higher 1964,ordination
he,S Solidarity Farmers,supported rural
Individuals Governing Trade He,job,gave
Radio he,Father Tadeusz country,critic
1953 Tadeusz He,RUD mining Lubin,graduated from
1985 year judgment,1985 year revision,kolporter
1929 Cylinder School,mechanical school inBrzeg Świdnik,graduated from
1982 Rzeszów;15 1983,WSK PZL,interned in
1981,Mo crypt sauce,Fighter
organizer,conditionally State Council,embedded in
31 pole aster;17 XII,private service company,Owner of
Senior  inspector,1988 Parking caretaker,led
1985 Władysław meeting,Secretary Gdańsk Shipyard,Lenin
Ryszard Pusz,TechnologyMechanical Gdańsk technological,graduate of
specialist,commercial Market Gdynia,led
repressed publishing includingHe,printing machines,repaired
1980  he,grade Factory Committee;prey,WPHW
offset trade He,serial round table,business
Pomeranian Honorary Consul,Szczecin,From
Wola He,Pedagogical Wrocław,graduated from
organizer,Stalinist Personal Wrocław,stopped for
participant,1993 KPN pension,From
1977 Gilowice.zm7 He,leavePolish Jagiellonian 1975,Copernicus in
S. another,IPN,began
1946 Mieczysław He,1968 Higher Agricultural Krakow,graduated from high
2 Edward this,actual  Scriptures,Tarnina
1994 Nszowiek councilor,1998 District Dąbrowa,retired
1945 Tadeusz He,Vocational School Tamże,graduated from
military garrison court,proceedings,discontinued
1984,EC Krypt,Idiot
1955 born16 He,fundamental car Szczecin,graduated from
hero,VIII 3 strike strikers,strike
S 1993 Marketing she,Organization  S,In
Civic Committee,2013 City 2013,retired
Aleksander Zbigniew He,Datural Dental Krakow,graduated from
1984 Zenon he,together Leonard Weronka,includingmagazines
S councilor Lidzbark Warmiński,City 2002,retired
1959 Wiesław He,technical  Kęty,graduated from mechanical
26 III Kolporter,concrete Worker mixer,Worker in
initiator,Podbeskidzka truth,reveal
underground publishing Kolporter,books,interrogated many
1983 year X,Transport Techmatrans Ibid,restored in
1982  V,1985 EC Krypt,Student
currently PL author,photo S,transferred
1981  participant,party PAX list,Tadeusz in
He,Polonia Freedom,awarded
1948 Ligota He,Automotive Technical Szczecin,graduated from
1980  participant,1980 strike S,In
Committee Szczecin application,martial Gen. Wojciech law,signatory
1990 Chairman he,2003 contract retirement,Szczecin
Great Committee Civic Committee,"""Education Social Educational Society",In
scientific Maria Grzegorzewska,1991 Scientific Council,worker of
Andrzej Radzikowski,1946 Military Technical Warsaw,graduate of
1939 Big K. graduate,1961  1966,PhD.
author,Polish  seminar,Experience
Deputy Minister,high Wojciech schools,Co
6th High letter,Now Kolporteżowa Lublin,conducted
1981  worker,Mazovian 1982 region,Work
national Dąbrowski Organizer,Congregation Regional Audit Committee,participant in
1986  1989,EC crypt,Woodpecker
Individuals Governing Trade farmers,independent Bydgoszcz activity,involved in non
1981  1982,SOS SOR KRPT.Advice,1989 by leavingVI
1969 National case,amnesty,discontinued by
Krajowy he,to Working Crew,Crétiens
1978  February,FacultyIII II Crypt,Edge
several  hundred,Chairman Professional Nieznieżek,Committee with
"monthly editor note""CDN letter",cooperative Jerzy Giedroycia,subtitle
1977,SOR crypt,Emperor
2011 zm.4 He,vocational Polish school,graduated from
1964 Youth 1976,Member Executive KP Rebirth,occurred after
Repeatedly poster shares;31 he,structures Saints Apostles Legnica,fell out
Solidarity ZM Organizer,Photographic Legnica,retired
1973–1985  Head,Editorial Encyclopedia,dictionaries
-,1985 publishing companies,Work in
patriotic poetry Czesław he,Repeatedly Gaudium revisions,stopped
currently X - XII,1981 Warsaw Universities,performed during
13  XII,blind Warsaw.1986 relationship,interned in
mainly South District he,Financial Reactivated Association,President of
13  XII,KSMO SOR KE KRPT.Quotary,Developed by
Krzysztof He,vocational  Warsaw,graduated from
5 coast.4 III VII,sanitary craft Warsaw,Hydraulik in
1955 Roman Janusz He,second degree music Szczecin,graduated from
1989 student he,Przedsiębiorstwo Gospodarki Bierutów,i
1982 Rzeszów.29 Isolation,close  Rzeszów;Kolporter,Solidarity
1980  Head,Collegium Slow,Neters
KOR trade 1977,doctoral opposition activities,Removed from doctoral
13  XII,1988 Russian Research Harvard,includingVisiting
1978,KSMO SOR KRPT.Bieszczady,SUSW as
born29 She,Education Penual Pedagogical Wrocław,graduated from
Cross,Golden Merit,Decorated with
Polish information he,1984 Primasual Social Warsaw,mzniazek of Polish
13  XII,1990 gypsum Wierzbica,interned in
14  VI,KRPT.Bero IX Rondo,As
IX 1947 IX He,Basic Vocational Warsaw,Wilcza in
Chairman,1989 National 2007,retired
1938  He,high  Chełm,graduated from high
1982 Provincial SN,pastoral Charity Lubin,-organizer of
he,1998 Main retirement,Member of
also Alina it,DYR.technically.in Sp.from o.o.in Gdansk,made
IX 1953 IX He,food  Gdańsk,graduated from
1987 ATA He,New Building,worked casual
harder TN III,2006 Polska District Pomeranian,From
medium reserve officers,1980 Polish Youth,Association of
Catholic Roman Catholic He,citizenship,accept
1980 Adolf Dygasiński,1980 High School,is
organizer,5x5 association,detained
Polish Documentation Documentation assistant,Consumer Consumer Krakow,Mackiewicz
Ryszard Rogoziński,1952 Rzeszów Technology,graduate of
observation course,underground Janusz writings,Editor
Zbigniew Robert Rojek,Angular  Krakow,graduate of
Commission Solidarity press win;The,regional courier Zdzisław bird,Sącz
1989 WIP SB,Maksymilian Krakow Mistrzejowice,Kolbe in
1981 IX 1989,KW MO SOR KRPT.Intruder,WUSW in
1982 zm.3 He,geodetic  Jarosław,graduated from
Worker,frequent job changes,was
1982 3rd case,sufficient  crime,discontinued
District Court 24 III 1993,2.5 twoSuspension sentences,recognized
1947,othersIn Polo production Syców,Economic in
Delegate Commission Mapnown,1981 hunger Kalisz,Co
1981 I Głogów,Cooperative Cooperative Self Syców,From
1994 trade chairman,former Party areaSycowski,In
1982  1983,IV EC Krypt,Adviser
Andrzej Roman,1927  History,graduate of
1981  he,job,lost
born16 II He,fundamental construction Pyrzyce,graduated from
activists label I,48 aid hours,publications among
Polish trade participant,university Medical Fr,In
Individuals trade he,Region First Commission Map,Delegate to
organizer,- Lądek Zdrój,Co
1970  Worker,MASTER PWR Tire PZPR,plants
1988 MRad he,Repeatedly  revisions,stopped
Participant occupation XII,1980 occupation strike,arrested for
1981  member,Grzegorz Ostrowski,focused on
7 stool VII,1982 stool guard,released
30 Jacques Investigation,Repeatedly  offenses,stopped
Irena Zofia,1940  Warsaw,graduate of
1969 Warsaw 1971,KOR COMMITTEE COMMITTEE COMMUNITY,unions
1980 Madrid she,then Patronage Care Association,managed
legal defense which,St. Maksymilian Krakow Mistrzejowice,went to
2000 Poland Celliction Poster,Cuban Antitotal table pension,caused
Zbigniew Romaszewski,1980 d.13 PhD.,graduate of
KOR trade We,48 Madrid revisions,stopped at
1980,Delegate National Niezniazek,Region;In
twelfth Physica author,Polish Giant Mountains,participant of
organizer,communist Antitotal table authorities,caused
Winner Stanford 1987).He,Lithuania,awarded
1948 born2 He,electric  school,Tam
1980  member,Solidarity trade Warsaw,Committee with
1982  Head,secret PPN publishing houses,barricade
He,Poland,From
1953 born11 He,basic car Włocławek,graduated from
organizer,Gryf IV magazine,Committee
released.1984 1985 released.1984 Driver,gainful gauge Germany,Interned
1950 Alfred He,FSO Ibid,graduated from
1981  Participant,"underground others""Tygodnik postcards",marks of underground
Literary Institute,Paris,created
1978  1981,Solidarity trade R,letters
19,1991 ATLAS Dzierżoniów,Isolation in
there IT Casual,there IT 2004,works
24  XI,1986 Electronic 1985,Technolog at
1964,independent Mostostal Stalowa publications,From
1980  member,ministerial government region,Map;In
1982  released.1982,independent homeland;1984 children,Overview of
committee trade member,includingChess sports tournaments,Supporting
1968  1982,13 Mera XII,Chairman of
14 Mera V,19 Ostrów VII,V
2004,electrical  installations,Run
organizer,Solidarity Ostrów pension,From
He,Polonia Restituta,awarded
2  September,MO SOR crypt,Masin
IX 1947 IX He,vocational  Malbork,graduated from
1980 strike 1981,Medical Gdańsk,was in
Solidarność Nszowiek TZR,Nszowiek Professional,created
again Commission founder,first Gdańsk Weekly,Collaborator of
1950 Gdańsk He,Basic Automotive Inowrocław,graduated from
third Śląsko Dąbrowskiego he,Commission Dąbrowa Górnicza,Chairman of
2010 DHL he,country,returned to
Author,gallows,put
26 Polish V,extraordinary years review,member of
1949  Clerk,1963–1984 Warsaw Housing Cooperative,named
III IX Ministry,opposition activities,being after
Janusz Henryk Rożek,1921  Lublin,born12
temporary Social Self he,violence Zamość Flyer barn,Finished for
it,1988 Lubelskie Voivodeship,In
1991 MP Rzeczpospolita Polska,Solidarity trade S,retired
1982 remuneration internment,work.1983 1988 Virgin Biłgoraj,released from
head,own Kurier business,From
Vice - President,2010 Vice Chamber,From
22  VII,PZPR;1973 Municipal National Olsztyn,displaced to
1988 EC recipient,21  XII,removed from
1983 Co -,1988 print Meetings,organizer in underground
1942  She,electric  Gdańsk,graduated from
1966  Education,main youth palace,accounting in
1981 Regional Audit Delegates,National Audit Committee,elected to
local trade unions,inconsistent Bellevue Heights,challenged
Independent Jerzy writing,several copies).3 SB,urged
1949 Wojciech He,Technical Secondary Zgierz,graduated from
1974–1982 Edward he,less  remuneration,protested with several
Postal Postage which,"views),30 VIII",released
1981  1982,SOR KRPT.Chord,Mo in
member,Commission Rzeszów region,In
1980 Connected Aid member,musical Jan Englert,press
80 trade This,underground meeting structures,was
day ROMETA crew intervention,official coast workers,called official
entire  Bydgoszcz,Solidarity trade unions,set
1980  1989,SOS SOR KRPT.Janek,worked
1958 born6 He,vocational  school,graduated from
1980 trade he,19 day service,refused
1987  locksmith,1987 factory van Hamburg,lives in
1943 born14 He,XXII High Warsaw,graduated from
1981  he,executive interstate group,Spidola
Catholic reserve officers,young Catholic Catholic Club,Active in
13  XII,1983 Akademche Ausländer Bonn,office of
1982 Lodz Solidarity 1987,parliamentary election campaign,founder of
1980 Hilary Jastak,daily Port Gdynia,Paris
DepartmentDenominations,"political disloyalty"".1986–1992 Szczecin",celebrated
1929 K. Nowy He,vocational Krynica Zdrój,graduated from
1967 Krynica He,Kolporter independent Kolporter repressed,writing
"including""Beach Małopolski"";He",independent  publications,founded
Golden Honorary Badge,Krynica Freedom,awarded
IX She,gastronomic  Gdansk,graduated from gastronomic
70 centrumio she,1979 Dariusz RMP,Coast of
1980  participant,1980 Workbook Gdańsk,Wałęsa in
unofficial  Secretariat,L. Wałęsa,carried
she,neglected Gdańsk families,returned to
1983  June,2 EC crypt,Alka
10  IV,2010 Russia).A Gdańsk,died in
13  XII,editorial High Services Gdańsk,associate of
founder,2007 PO list,In
Monography Political Prisoners,1956 CZ.Autobiography L. Democracy,cooperated with
Main XII,10 years imprisonment,Council
1978 Self Defense He,IX 1977 Democratic Traffic Declaration,took
W,human Opposition Poland,activists in
Military Military Cross,Great President Rzeczpospolita exile,Cross of
I,FacultyV EC crypt,Defaulter
9 Mirosław He,1977).A Social Gdańsk,graduated from
1980 collaborator Committee Committee,11 Nowa.1977 December,From
1  VIII,FacultyIII SOR crypt,Fisherman
He,technical wood Łomża,graduated from
We,1980 Founding Company,VI
S company he,1988 Białystok region,member of
near Underground President,Cursed Białystok,From
1960  He,1980 Catholic Lublin,graduated from
1982 Kamienna 1984,COMMUNE Member S,leaflets for
VI  1979,1987 outThird sauce,WiSw in
IX 1949 IX She,High School,graduated from
1980 Municipal Journalist,Echo,writing
editorial Individual she,independent publication point,ran
11 Supreme Court,1988 Krystyna employment,1989 without
"80 Gazeta Wyborcza"");also",literary book prison,Author of numerous
1955 born16 She,Zielona Góra,Wool in
1983  Collaborator,underground Kolporterka husband,interrogated
Organizer,Solidarity Zielona 2001,retired
independent Jerzy connectors,worse opposition activities,co
4  1982,poor  health.11,Arrested for
one Working Committee,retirement,From
30  IV,1985 Sor Krypt,web
Average  education,pedagogical mechanization course,graduated from
1986 term cooperation,long term treatment,suspended due
1945 Bogdan Jerzy He,1 Skarżysko Kamienna,graduated from
then  member,s Świętokrzyskie Region,stopped
1980  1981,2 SOR KRPT.Contractor,WWSW in
founder,1981 Krajowy Śląsk Delegate,In
organizer,2002 ownership economy,President of
Hanna Teresa Rytko,currently Physical Wrocław,graduate of
early Solidarity Help she,working Francaise).Co people,French in
III 1925 III She,4th High SchoolStanisław Sosnowiec,graduated from
1980  member,Solidarity IJP Som,In
22  January,co -organizer Dąbrowa 1989,stopped
she,EC KRPT.Virgin,MO in
1989  1996,construction Corina renovation Budros,are
III 1956 III He,high  Warsaw,graduated from high
1973  Goniec,1980 animal care,InspectorAccompanied by
1991 CKM Loran owner,. MSA Alpimor o.o,Since
RelationshipProfessional Szczecin She,Social tasks).1983 Warsaw,made available
1985 Engineer Programmer,printing Factory house,shared
honored  badge,Polish  culture,deserved for Polish
1931 Zygmunt He,basic printing Gdańsk,graduated from
leaflet  printer,1980 printing house Gdańsk,delegated
1986 I V,1986 Gdańsk Repair retirement,employed
III 1966 III He,High School Tami,graduated from
writty Solidarność which,official star media,From
repeatedly Republican XII,Revolution Zbigniew activists,observer during
1938 on5 graduate,Major Warsaw,ordination
independent Zbroszy Big who,religious Roman Catholic Czechoslovakia,Movement
7  attempt,presbytery,operated
1989  organizer,2008 football VII,retired
Winner,Poland Rebirth,awarded
2009 d.4 He,workingMaria High Szczecin,graduated from
VIII FMO trade 1981,1981 Garnizh Białystok,Wiśniewski
1982 13 Participant,underground  officers,MO;Designed
He,Polonia Restituta,awarded
1940 born24 She,Plastic Warsaw,graduated from
1984 Grzegorz perpetrators,1984 Grzegorz which,beat
1987 student 1989,Commission Toruń Solidarity GS,S
He,Polonia Restituta,awarded
Sławomir Sadowski,1962  1993,graduate of
1983  SMW,Kolporter underground Tygodnik university,Scripture of
2012 zm.30 He,Vocational School Tamże,graduated from
1980 co -initiator,DepartmentZB-1 Hutniki Committee,committee at
1981 occupation 7,Committee i m. Lenin,Co
participant Factory committee,1997Audit Housing retirement,Region.2001–2007
he,1984 Pafal precision Świdnica,Elektromonter
founder,2014 Sp.z o. retirement,administrator of
IX 1951 Wednesday He,1 school Wrocław,graduated from
which,political Polish Independence council,1993
1989 member Committee,2006 Political Council retirement,From
J Eusebius,1966 Dominican 1971,born19
1983  Priesthood,independent Poland Write,Krzysztofor
1982  priests,Louvain la Neuve,inwith
Witold Salmonowicz,technical education Warsaw,graduated from
Fire Scouting member,1968 Cooperative Work Bartoszyce,Arged in
he,working  station,stopped at
1994 SC.In Olsztyn,unemployed  2000,retired
together Janusz co,underground power structures,served
1977  Plastic,1979 Young Poets Club,works
1983 Stanisław Sikorski,Commission First S,S
He,Distinguished Culture activist,awarded
1984  1985,SOS SOR KRPT.Optima,Developed by
1934 Józef He,Automotive Technical Kalisz,graduated from
1958 Kalisz communication he,farm  Gołuchowa,runs
Anna Samolińska,theoretical Catholic philosophy,graduate of
14/15 V 1977,democratic traffic declaration,Signator for democratic
Participant  initiatives,Solidarity Provincial Council,collected
Wojciech Samoliński,1953 Catholic Lublin,graduate of
repressed Sejm Polish Participant,young meeting libraries,writing of young
informer Catholic member,Central,stopped
owner,published  Lublin,Since
1987  1989,SOR crypt,Editor
