source,target,edge
Cross,cultural  activist,awarded
V 17 V XII,WatchIII SOR KRPT,Developed by WatchIII
Stanisław Jan Mazurkiewicz,1964  Warsaw,born13
1986  Co,-,founder
1981  chaplain,anxiety,interned in
organizer,trade Saint,In
10 born13 IV,2010 plane Smolensk,died in
13  XII,24 Warsaw 1982,interned in
Wiesław Meldner,1935  Pabianice,born27
13  he,underground  activities;17,engage in underground
Mirosława Mencel,1939  Kalisz,born17
1980  member,Founding Committee,From
Jan Mendrek,Bielsko Biała,born26
13  XII,1981 Jastrzębie Szerokiej,interned in
15 Suwałki XII,1981  anxiety,interned in
1980 strike participant,1981 negotiation government,resigned from
13  XII,1981  axle,interned in
Komorowski Krzyżski Komorowski,Poland,accepted from
Farmer,co Brydziew,ran
Stanisław Micał,1931  Rzeszów,born29
1984–1986,SOR crypt,worked
12  May,SO Nowy crypt,worked
Highest  1992/1993,editor editor,In
German von Targowica,von figure,organized by
1978,KS MO KS WZ,worked
1990  Activist,Polish Ecological Krakow,Dygr
Krzysztof Stefan Michałkiewicz,1953 Catholic Sociology,born26
then Working Committee;member,Energy;In IV,IX
He,BishopLublin metropolitan,awarded
1981  Co,arrestn Gdańsk letter,released from
13  XII,1982 released;31 axle,interned in
1980,then ZR Huta,arrested
13  XII,1982 General Czesław 4th,interned in
1965  Republic,PS,covered in
French Pen Club,them,prizes
1980  Participant,St,fasting with
Solidarity trade them,farmers,made
1983,Wydz,Developed by
EC IX,parish Church Oo,made available
1981  organizer,1985 Art OO,interned
distinguished  badge,appreciated  Poland,awarded
1966,1969 family shipyard,worked on
-,departmental Gdańsk Shipyard,member of
13  XII,1981 III May,interned in
70 Team Black i,1972 XLii High WarsawWith,m
Russian  he,dozen Aleksander power,translated
1976–1981,FacultyIII SOR KRPT,worked
made  Solidarność,post Rajsk,stamped
governing European which,Nasz Dziennik,Author of
1975  member,permanent Polish Radio employment,dismissed as
Co authors,2003 Armii Anders,author of
distinguished  badge,approved  Poland,awarded
13  XII,1981  axle,interned
1981 Chełm;In Delegate,Solidarity Trade Chełm,From
1981 national commission,1981 trade anxiety,engaged in
Andrzej Milczanowski,1939  Equal,born26
7th day judgment,17  IV,quenched to
30  IV,1982 SOR KRPT,Developed by
Ewa Milewicz,1947  Warsaw,born4
apartment,important contact point,had
Jerzy Milewski,1935  Poznań,born27
1957  1981,Flow Machines,Institute of
delegation  he,abroad coordination Brussels,remained abroad;A
he,Poland,returned to
1981  Kolporter,Due leaflets,print
1990  he,1992 Provincial Cultural Gdańsk,led
Teresa Maria Miłczak,1937  Puławy,born12
1982 Puławy she,3 Provincial years,arrested during
foreign Soviet Union);Since,foreign Energopol Bashkirii,retired
1989,EC KRPT,Developed by
1968 Student signatory,student radio Pomerania,received
released;31,1989 Zielona Góra,interned in
Jerzy Minta,1940 Ostrów Wlkp,born12
1980  we,1981  Delegate,ix
13  XII,1981 Ostrów Wlkp,stopped
honorary  member,silver Silver Merit,Association;Awarded with
authors,2011  Heaven,author of
1982  1984,Mo Sor Krypt,Developed by
actually church aim,professional  life,was moral
1982–1989 organizer andDiocesan Committee,patriotic Sacred Siedlce,chaplain at
He,National Education Committee,awarded
Lech Jerzy Miściorak,1951 on23 Szczecin,born
1970,electronic technician Wrocław,employed as
13  XII,1981 26 II 1982,interned in
20  1980,outz,Developed by
Word word,1981 Independent Polish Lublin,subtitle
Medal  S,Śląsko Dąbrowski Freedom,awarded
1984  1985,SOR KRPT,WSUW in
Leon Mituro,1940  Podbrodziu,born20
1981 National he,protest province,managed
13  XII,1990 Nowa Radom,interned in
1980  he,financed Gdańsk Shipyard,co-
13  XII,1981 Biała Rzeszów,interned in
1992 John he,Polish Lithuanian Commonwealth,moved to
1983 Jan he,1983 Military District 3,arrested
1977,ThroughoutIII crypt sauce,Developed by
23  IX,1981 AŚ Warszawa Mokotów,arrested
so  calledAnd,1984 Warsaw Military amnesty,appeared to
where Great he,wing emigration environments,stayed in
He,Polonia 1987,awarded
1969  1977,previous  judgment,rejected
Marian Moćko,1936 K Kielce,born1
military  service,1960 Kielce company,works
light life participant,first  1970s,care
1980 RMP she,Gdańsk Shipyard,assisted
1980  he,1980 Company Wrocław,stayed
23 Warsaw XII,1983 AŚ Warszawa work,interned in
1989  he,SOR KRPT,expired by
13  XII,1981  axle,interned
Wiesław Modzelewski,1952  Gdańsk,born29
1957  i,1957  Huta,m
responsible strike committee,responsible occupation Department,appointed
he,1995 Lower Silesia Zakładowad,reactivated by
Solidarity  Solidarity,Solidarity trade Nr,Decorated with
1981  1982,outz,Developed by
13  XII,1982 Warsaw health,interned in
1983,Fr,associated withwith
specialist,Wieruszów Pfleiderer Prospan SA,plants
Andrzej Sea,1949  Łomża,born27
13  December,1982  Opole,interned in
Jan Mosiński,1956  Lubin,born19
Leon Mosio,1947 Szczawno Zdrój,born19
Stanisław Pozyjko,1954  Szczecin,born13
1981  XII,1982  axle,interned in
He,Polonia Restituta,awarded
14  XII,then KM anxiety,detained
1988  1989,SOR KRPT,Developed by
author,departmental strike committee,Solidarizing with striking
14  VI,1986 IV SOR,Developed by WatchIII
13  XII,1981 union Fr,hid
1983,Wydz,Developed by
1980  Participant,walls,painting
1970  he,false Jagiellonian coast,arrested at
editor,1982  letters,progress
13  XII,1985  hiding,acted in
7 day 1982,14 day hunger,released
13  XII,1981  axle,interned in
distinguished  badge,2001 Polonia Restituta,awarded
1983,Sor Krypt,worked
Mariusz Muskat,1947  Bydgoszcz,born12
1980 strike participant,Information Rybicki Department,In
13  XII,9 III 1982,interned in
1980 Wojewódzki they,medical Gdańsk Shipyard,served medical
He,Bronze Merit,awarded
1982  1983,SOR KRPT,Developed by
Piotr Fighter,Trout K,born12
X,1986  outz,Developed by
He,Freedom,awarded
Maria Teresa,1928  Vilnius,knocking
1981  organizer,interned Sacred cooperation,assistance
1981  he,West,remained in
He,Solidarity Lesser Poland,awarded
1984  1985,WatchV SOR crypt,Developed by WatchV
Robert Eugeniusz Naklicki,1966  Szczecin,born7
1981  participant,subsequent  December,V
harder  degree,organizer Co Puławska,From
1981  he,10  January,took
13  IX,WatchIII SOO KRPT,Developed by WatchIII
Jarosław Nanowski,1941 on26 Terle,born
VIII  1980s,times Gdańsk Shipyard,supplied
13  XII,1981  axle,interned
Journalist,2007 Agricultural Poznań,Additives
Kazimierz Bogdan Corner,1943  Wągrowiec,born17
13  XII,1981  axle,interned in
Committee Civic Committee,nicheon trade unions,S
founder,T,In
1979  1985,KW MO SOR KRPT,WUSW in
XII,1981  axle,interned in
Marek Andrzej Natusiewicz,1952  Wrocław,born1
spatial planning he,other WBPP WS,Chairman of
1983  August,MO SOR crypt,worked
1986 Zbigniew Expert,called COMMISSION COMMISSION SolidArm,TROUCES
mining Lubin,Lubin,sztygar in
1981  IX,WatchIII  WZ,Developed by
1  VI,1981  Głogów,released
I,Christian Culture,am
she,poetic  Europe,performed during
1963  Psychologist,intellectual Aleksandrów Kuj,inGrabiu near
"Self Governing Trade Solidarity"";She",1987 Independent Social land,led
Waldemar Nieraczek,1952  Suwałki,born4
15  1982,interned  revision,released
13  XII,1981  axle,interned
29 III 1983,SOR KRPT,Developed by
We,underground Pomeranian 1989,finishing
Stefan Niedzielak,IX 1914 IX Płock,born1
National Military Organization,Warsaw Uprising,ABP
Janusz Niedziółka,1949  Siedlce,born26
13  XII,1981  axle,interned in
30  VI,1980  Wydz,acquired for
Poland Cross,Trade Union Solidarity,awarded
1981  the,13  XII,interrogated
Paweł Maria Niemkiewicz,1960  Przemyśl,born23
1989–1990  journalist,1990 deputy Przemyśl,delegate
26  1982,then  Darłówek,released
1955  Employee,military union 1981,delegated
then Workers Chairman,departmental strike shipyard,seconded to
1983  1988,outz,Developed by
14  XII,1981  axle,interned in
13  XII,1981 Zielona Góra,interned in
1980,outz,Developed by
13  XII,16  VI,interned in
1981  VII,KW MO Sor Krypt,WUSW in
photos,many co S,presented at
30  VIII,1980 Department Committee,supported
1981  decision,Krajowaw Polam Piła,made
1982  participant,underground Nowy Sączycka News,issuing
1976  Helper,1985 Car crane Kościerzyna,industrialized agricultural
organizer,departmental Gdańsk Shipyard,In
1981  XII,1982 removal Strzebelinki,Interned in
He,2010  Freedom,awarded
independent  he,Provincial Council,collected
Nowacki Stanisław,1956 Trzemeśnia K,born12
1980 Vice - President,1981 Mkdomisja Delegate,delegated to
1981  participant,independent Old publications,conducted
1982  1983,Mo SOR KRPT,Developed by
hardware water 1980,1981 Magla Worker RFN,Head of
-,1982 Navy 4,arrested
IX II 1982,crypt sauce,Retracted by WatchV
i,Huta,m
1981  1982,EC SOR crypt,Developed by
13  XII,1981  Debarp,interned in
1988  1990,4th  work,restored to
Chw Mo he,however  case,stated
23 Kielce VII,new Kielce slate,released
20  VI,Kielce WatchIIIA KW p,Developed by
1984 Night Wolves,sides,Subaż
1974  1989,FacultyIV Dep,worked
20  VII,festive  interned,released
1977  1983,Mo crypt sauce,worked
We,governing trade science,IX
Zbigniew Nowek,1959  Bydgoszcz,born1
independent Co publications,1989,From
27 arrival XII,extraordinary sought mode,placed on
1997  Head,1998 Deputy SLD,resigned to
high Kazimierz she,Hungarian cash insurgents,organized
1982  1989,1981 Charity Saint,made
Marian Marek Working,Father,devoted to
13  XII,1981 Kielce 7/1982,interned in
19 IX 1989,WatchII Depth,Developed by
Wojciech Józef Nowicki,1958  Olsztyn,born15
He,Polonia Restituta,awarded
13  XII,cooperative Provincial work,forced
Kazimierz Nowotarski,1936 born29 Poznań,VII
Stanisław Obertaniec,1948  Legnica,born1
13  XII,1981  axle,interned
1980–25  VII,MO crypt sauce,worked
Jan Alien,1913 Borzęcin Brest,born26
1981  he,housing strike committee,hid
Kazimierz cast,1948 Ostrów Wlkp,born23
13  XII,1981  axle,interned in
1989  he,nationwide Ponar S,registered in
Hutnik Sports Club letter,S III Huty,issued
underground press Solidarność,struggling  solidarity,will win;From
Janina Ochojska,1955  Toruń,born12
Polish which,humanitarian  Bosnia,In
1982  1984,MO EC KRPT,Developed by
1981  participant,step Provincial information,transferred
cultural  activist,Poland,awarded
Socialist,Volunteer Fire Brigade,From
member,trade EJ,seconded to
1981  Participant,occupation ZOMO,tanks
5  XII,first Supreme Poland,prof
Piotr Andrzej Ogrodziński,IX 1951 IX Paris,born7
monthly CDN letter,KOR Trade unions,animator between
10 V 29,1982  Ośr,interned in
1958 Worker Works,radio Skierniewice,Suspend in
13  XII,1981 III 1982,released
He,Polonia Restituta,awarded
Janusz Okrzesik,1964 Bielsko Biała,born27
leaflet Warsaw Tomasz COLLECTION,SERIE  S,DOES OF
Tadeusz Andrzej Olczak,Osuchów,born26
1982  Chairman,Physisja share repressed,Aid
Included,Section Peppozonie Gryf S,seaports
1982  1987,1984 SOR outz,worked
Stanisław Olech,high  k,born26
Chain Factory screws,chain,are in
Committee Civic Committee,Professional Nsziezek,unions
1982 18 IX 1982 VII,1983 SOR KRPT,Developed by WatchV
1984  XII,3rd WiSw SOS SOR KRPT,Developed by
vibrant Antireżim crows,red WRON ribbons,released
MO  which,KW MO SOR crypt,2
1982 IX 1989,KW MO SOR KRPT,Developed by
1944  Soldier,Hard Pomeranian invalid,Mobilized to
member,b,verifying
member,2002 Professional Nsziezek,S
14  IV,WatchIII SOR KRPT,Developed by WatchIII
1981  adviser,includingRadio Auxiliary KS,stopped for
Bratniak  he,Dr Ryszard Gdańsk,sold
1982  he,underground Koniecznek Printed Solidarity,resumed
Maciej Ołtarzewski,1948  Szczecin,born17
13  XII,1981 Zielona IV,released
1980  he,1980 Company Momisa,-founder of
13  XII,1981  axle,interned in
1974  1977,KS Mo EC KRPT,Developed by
actually church aim,professional  life,was moral
IV 24 IV VII,1982 crypt sauce,Developed under
founder,underground  Krzyk,In
2007  He,World Army Lviv,helped in
1988  1989,SOR KRPT,Developed by
Eugeniusz Opaki,1936  Przemyśl,born19
1981  Interned,Completion Uherce,released
He,Polonia Restituta,awarded
13  XII,S  Zurich,remained in
founder,12 III 12 anxiety,interned in
13  XII,1981  axle,interned
X,Grade Electrolux Orange Tamż,Engineer for
1971  Electronics,1979 POLFA pharmaceutical plants,Unimor in
Kazimierz Orłoś,1935 on26 Warsaw,born
S  Committee,Economic Academy,restored to
author,new Publishing book,consisted
Orzałkiewicz Alicja,1936  Stanisławów,born15
preaching activity,written  retreats,Fr
1961  Locksmith,1974 Głogów construction enterprise,seconded
organizer Co strike,construction Chocians,chiefs
13  XII,1981  axle,interned
1980  VI,1982 crypt sauce,Developed by
Co - Co organizer,Bobble Marek Fr,Strike in
Józef Orzeł,1946  Kharkov,born26
14  XII,1981  shipyard,stopped
1981  1982,so WYDZV KS crypt,Developed by
1980 VIII Co,1980 Lipcear S,followed by
17 III 1986,crypt sauce,Developed by
where  he,protest,so
1976  Railway,Gdańsk,works
then Working Committee,1981 Pilskie ZR,Wander
13  XII,underground National press,interned in
Andrzej Osnowski,1948  K,born27
repressive  XII,times  apartment,interrogated
1981  Kolporter,Solidarity Publishing library,meeting
13  XII,1981 detention Włodawa,interned
Andrzej Ostrowski,1945 12 Vilnius,born12
He,Freedom,awarded
12/13  XII,short KW anxiety,interned in
Union Solidarity Lublin,pastoral Lublin Lublin,From
abroad  He,Central Underground 1983,conducted
participant,manifestation election,encouraged
3  poems,8 school entries,entered
Laureate,2000 Golden Merit,awarded
14  XII,1981  axle,interned in
Bogumił,1952  Gdańsk,enlighten
1982  he,also  home,P
Jan Stanisław Otto,1939  Nowogródek,born
then Founding Chairman,1981 Factory Delegate,Western
1981 Participant strike,legal process activities,repressed
Member,S City Council,In
Founding Bureau,week factory Podhale,preparing
He,Polonia Restituta,awarded
1982 Warsaw judgment,1982 Warsaw appeal,suspended
1988–1990,Nih,visited
He,Polonia Restituta,awarded
11 IX 1985,so KS crypt,Developed by
1981  collaborator,underground Nszowiek Professional Union,prescribed
1981  President,new WSK PZL,includingWhen
2005 DecoratedSilver resolution,City Mielec,called
13  XII,30  IV,interned in
Antoni Pajdak,1894  Wieliczka,born7
5 IX 1983,KS MO SOR KRPT,Developed by
Krzysztof Pakoński,1947  Krakow,born20
constructor,research heat exchangers,carried
1980  co,independent  representatives,ofZaw
13  XII,1981  axle,interned in
1985  1990,DepartmentIII SOR crypt,worked
1981 Factory Committee;Co S,1981 Chairman Professional Niejrezek,JWP
1981  she,activists,cooperated with
11  31,KW Mo EC Krypt,Developed by WatchIII
member,political Young Republic,POLSKA
Jan Paczyszyn,1961 Połczyn Zdrój,born1
organizer,first Leszek Fr,participant in
Bohdan Papiernik,1931 Tomaszów Mazowiecki,born11
8,few Polish hours,stopped by
1978,SOR crypt,worked
Jan Papina,II Wrocław,born12
1982  Designer,Zielona Góra,Investeproject in
III participant,1976 Polish Radom,refused
13 Zielona VII,Zielona Głogów,released
Władysław Papużyński,1930  Horochowski,born15
1940  I,1946  Poland,deported with
1980  1981,formally Polish Scene Artists,No
1978,outz,Developed by
toPolish,gardens,Remember about
inverted chair;wife attorney,1984  work,released as
Translator Bernhard What,religion,Considerations on
S  Chairman,Workstan Commission,was
He,Polonia Restituta,awarded
1983  1985,so WatchIII crypt,Developed by WatchIII
12/13  XII,1981 ZR ax,stopped at
includingMilitary documentary each,Marian Terlecki,is
deserved Polish culture,Gloria Poland,awarded
Marek Pawlak,1950  Kalisz,born7
1980  member,1980 Factory Żywiec,From
1983,1,arrested
1980  she,depot,supported by
Alicja Ewa Pawlusiak,1932  Wilkowice,born17
member,then Council axle,stopped
Józef Pawlus,III 1946 Bielsko Biała,born7
1980 strike participant,1980 Bielsko Biała,activist in
underground  IV,then Bielsko Biała,took
participant,1989 Chairman Professional Niejrezek,Dygr
1982–15  VI,MO EC crypt,worked
12/13  XII,1981  axle,interned in
group  Kolporter,underground Tygodnik Observer,Wielkopolski
10 II,Załęże,led
He,2013 Lesser Poland Solidarity,awarded
1979 Polish State 1981,1975 Polish State Konin,Railways in
Andrzej Wiesław Peciak,1955  Lublin,born27
Ryszard Penkala,1950 Bielsko Biała,born17
1968 Railways Bielsko 1970,1992 Auto Poland SA,Chybie
1989  1996,1998 ZR committee,delegated
VII,WatchV Sor Krypt,Developed by
13  XII,1981  axle,interned in
Bulletin  Placówka,1979 Wola Zarczycka,was
13  XII,1981  axle,interned in
Waldemar Parnach,1936  Warsaw,born12
1970 Energy includingChief,Energy,WYDZIn
1978  1980,Solidarity Henryk Wujcem,Committee with
17  XII,1981  axle,interned in
founder,1992 Third Commonwealth,In
member,then province PS,From
Wojciech Pęgiel,1955  Kraków,born1
1974,Technical Work Krakow,worked
Adam Flazieł,1959  Kraśnik,born26
We,independent  students,IX
1988/1989,S Ustrzyki Dolne,reactivated
graduate,Warsaw,prof
1977  Casual,newspathed construction combination,Until
3  IX,governing trade union,brought from
1981 underworld activist,informer  S,»
Author,public  crime,documenting
VII,Opole WYDZIII p,Developed by
15  XII,3 Strzelce IV,released
He,Polonia Restituta,awarded
16  XII,1981 SOR KRPT,Developed by
chairman,Grzegorz 1985,After
Committee Civic Committee,Professional Niezniazek,Grudziądz
25th Medal Heart,Poland,awarded
X,1983 SOR crypt,worked
Andrzej Piecki,1947  Warsaw,born19
member,S-80 factory radio,seconded
1981 KS member,1982 years);15 work,released
Mieczysław Piejko,1944 Jawianicki Hucjk K,born1
XII,1981  Zgorzelec,stopped
Marian Piekarski,1951  Chełmno,born15
14  XII,1981  establishment;fired,attempted
KS i,KS Huta,m
1980  1984,outz,Developed by
13  XII,1981  anxiety,interned in
she,Round Table,refused
Honorary Citizen,Great Poland,decorated with
13  XII,1981  anxiety,interned in
she,day school,restored
Adam Pieńkowski,1939  Grudziądz,born17
X,1982  Gdańsk,Restored
Władysław Piłak,1947  Przeworsk,born26
4 Warsaw he,passage Warsaw,Internified
Cross,cultural Italian Republic,awarded
21  IX,KW Mo Sor Krypt,Developed by WatchIII
13  XII,1981 Ostrów Wlkp,interned in
He,Australia,emigrated to
Kolporter,Bulletin Chairman Professional Nieznieżek,includingScriptures
-,prey,begin
Bogdan Pietruszka,1935  Końskie,born17
1953  Afferent,grade Gdańsk shipyard,technician in
VII,1981  Sieradz,released
1976  1982,WatchIII SOR crypt,Developed by WatchIII
founding  member,financial Ostrów families,interned
1988  Organizer,Kurier secret trade Gdańsk,led
1980 Co -,Solidarity Jastrzębie Zdrój,IX
1981 Coal Lipcear who,strike,participant in
1988  1990,outz,Developed by
1982 Co -,private theater homes,group
he,Czerniec,runs
13  XII,1981  axle,interned in
1981  VII,1982  axle,Integrated in
1944  Courier,partisan Home brother,proved by
-,governing farmers Rural GM,structures independent
1976  1978,KW MO EC Krypt,Developed by
Jerzy Jacek Pilchowski,III 1950 III Gliwice,born17
severe Kamienna he,1982 KW KW XII,interned in
Jerzy Pilecki,1952  Bialystok,born4
It,own  opinion,'s worth
1981  he,1990 Coordination ZW,went to
1970 strike participant,1970  January,restored
1980  organizer,strike,vice
Senator Rzeczpospolita Polska,Christian Polska Lech Wałęsa,representative of
11 protest XII,medical 28 work,interned
Partisan he,pseudonym  Piotr,used
Gabriel Konstanty Plaminiak,III Constantinów,born17
1987,Wydz,Developed by
underground publishing it,Kolporterka Tygodnik SCMB,Mazowsze
Winner,1989 Distinguished Culture activist,awarded with
Adam Pleśnar,1935 Opole Lubelskie,born17
he,leading  PZPR,join
13  XII,1981 16 II 1982,interned in
14  V,axle,interned in
Ryszard Pluciński,1951 Ostrów Wlkp,born26
underground  structures,1982  axle,interned for
member,Trade Unions Trade Solidarity,In
1981  1985,outz,Developed by
1970  Contacts,othersProgram organization,received
31 Wujek Stone he,1982 District Prison Bytom,arrested to
Tadeusz Włodiński,1951  Świebodzin,born12
10  IV,2010 plane Smolensk,died in
departmental strike she,foreign Translation journalists,VIII
13  XII,1982 Aid Kielce,interned in
Vice -Chairman Committee,1989 Nszowiek Professional,transformed into
12  January,so KW crypt,worked
13  XII,editorial evening coast,sent
1972 Albert Forster,publishing Morskie,Doliący
He,Bronze Merit,awarded
13  XII,1981  axle,interned
He,Semper Fidelis,awarded
several court hearings,1982,dismissed from
13  XII,1982 III work,interned in
martial PZPR 1983,"also including""Małopolska Hutnik",made
Lesław Poeckh,1927 Poeckh de Lviv,born1
Opole independence which,political Opole Silesian,Associated with
surrounding poster shares,culture,POIW in
Jan Polak,1951  Kęty,born15
1986  Author,Solidarność  fighting,collected
1964  Employee,1970 Economics Organization,organized
1981  member,artistic co Church,arose as
Zygmunt Polanski,1929  Przemyśl,born15
Arka Arka Arka Ark,Employee fishing PPIUR,subtitle
actually church aim,professional  life,was moral
7 VII 1977 19,WatchIII crypt sauce,Developed by WatchIII
21  XII,1981  axle,interned in
1980  he,then Huta Hutniki,celebrated
19 A strike XII,1982 string war,Wanted with
Ryszard Potaśniczak,1949 Ostrów Wielkopolski,born1
Kolporter,others Krzysztof Bardelas,From
-,17 III 1989,operated from
1981 WARMIŃSKA WARMIŃSKI Member,ZR,P
Secretary,martial Region Pro Patria,repressed in martial
1982  VI,1989 K Sor Krypt,Developed under
1976 Slant Shipyard i,1976 Slant Shipyard Szczecińska,Author of many
Honorary  citizen,Polonia Restituta,awarded
1984,outz,Developed by
24 removal VI,1981 removal Strzebelinki,interned
Janusz Prendota,II 1959 II Kwidzyn,born19
15  XI,worse  position,interned in
2004 Aviation he,Polish Paul II St,runs
1980  1989,FacultyIIIA Piotrków Tryb,worked
1980 Bureau strived,rally Jastrzębie Zdrój,represented by
15  XII,called shareholder detention,stopped for
1989  VIII,next Wielkopolska Region,Delegated
1960  Frezer,2006 Automation Damage,plants
Emilia Irena Decójnicka,1952  Lubania,born12
1981 Aid organizer,Silesian Świdnica OFM,imported
XII,WatchV EC Krypt,Developed by
13  XII,1981 trade union activities,stopped
Lucyna Maria Prylińska,1924  Kalisz,born26
Polish Society Kalisz,solidarity,fighting
Irena Piecychowska,1916 Swan Podło,born4
stray IX Rada,political Józef processes,strike in
author,Posted Stomil employees,In
15  XII,then 17 judgment;fired,arrested
1980  President,1981 Toruń ZR,From
Knight Cross,Kuyavian Palatinatus Cuiaviano PomeraniSis,Decorated with
1986  VII,WatchV Sor Krypt,Developed by WatchV
Bogdan Kazimierz Przybylski,1944  Jarocin,born13
7th  organizer,1980 Inter faculty,In
shouted Jack 21,shouted Jack list,changed
Committee Civic Committee,electoral Andrzej Kosemalski,S
which,dreams,Author of
Marek,III 1954 III Poznań,arrived
1982  1986,monuments Poznań,employed in
1988 Scientific 1993,renuncional  Paris,On
Bronisława,born29  Katowice,arrived
1981  VI,1982  axle,interned in
underground  structures,1983 Provincial grace,arrested
1939  member,gray,ranks
13  XII,1981  axle,interned in
10 III November,13 crypt sauce,worked
Stanisław Pszczółkowski,III Wólka Świątowa,born1
13  XII,1981  axle,interned
he,S Solidarity Farmers,supported rural
he,patriotic  sermons,preached patriotic
he,Forum Romana Bartoszcz,supported by
13  XII,1981  Włodawa,interned in
1981,Mo crypt sauce,worked
Senior  inspector,1988 Parking caretaker,led
Ryszard Pusz,1952  Gdańsk,born29
specialist,commercial Market Gdynia,led
1980  he,foreign strike prints,dissolved
S Agricultural member,Commission crisis situations,In
founder,1976 studies B,collected
1981  organizer,leaflet  actions,writings
1984,crypt sauce,worked
hero,VIII 3 KS R,strike
1984 Zenon he,together Leonard Weronka,interrogated
organizer,1990 Institution ZR,In
white  4,26 III State,made
1982  V,KW Mo SOR KRPT,Developed by WatchIII
S Shipyard i,S Shipyard Szczecińska,m
He,Polonia Freedom,awarded
1990 Chairman he,function,participant of
founder  member,MKommisja Zakładowa,region
Andrzej Radzikowski,1946 Dąbrowa Górnicza,born27
Anna Radziwiłł,1939 Sichów Big K,born20
1982 High SchoolJoachima she,1970 Jarosław vicer,Teacher in
1981  collaborator,devoid Aid liberty,journalist
6th High letter,Now Kolporteżowa Lublin,conducted
national Dąbrowski Organizer,then Jan Górny,council of national
1986  1989,Mr,worked
1981  1982,SOR KRPT,Developed by
1977  Casual,Warsaw,works
1969 National case,amnesty,discontinued by
1978  February,MO  SUSW,worked
"monthly editor note""CDN letter",KOR Trade unions,subtitle
1977,Dep,worked
1962  Welder,1962 Mechanical Plants Legnica,Lubin
13  XII,larger ZM outz,interned in
1973–1985  Head,Editorial Encyclopedia,dictionaries
20 III 20 1982,interned theater performances,released
13  XII,KSMO SOR KE KRPT,Developed by
22  XII,1981  axle,interned in
1980 Committee Civic Committee,1978 Independent Scriptures,made independent
8 III 1982,1981 Warsaw Grochów,interned
1978,Faculty,Developed by
Cross,Golden Merit,Decorated with
14 Kielce IV,1982 released;In work,interned in
14  VI,Mo EC Krypt,Developed by
Edward Reverse,1938  Włodawa,born19
1982  accused,1982 Provincial 1,organize
he,S  Małomice,reactivated
1981  participant,independent Busko Zdrój,Printer
1990 national commission,Freedom Movement Association,In
Ryszard Rogoziński,1952  Rzeszów,born26
1969 Energy Employer,electromontage,followed by
observation course,anniversary participants,was
Zbigniew Robert Rojek,1954  Bochnia,born17
participant,Stanisław Pyjas;In SKS,bulletins
1981 IX 1989,KW MO SOR KRPT,WUSW in
Worker,frequent job changes,was
District Court 24 III 1993,IX 1993 prison 1,recognized
1947,right youth deviation,removed from
13  XII,1981 Ostrów Wlkp,interned in
-,Solidarity trade Syców,In
1982  1983,EC Krypt,Developed by
Andrzej Roman,1927  Warsaw,born15
1980 strike participant,then Institial Committee,Commission
2002 Factory physician,Crystal Glass Watch,Śl
14 Nowa XII,1981  anxiety,Mobilized
1970  Worker,MASTER PWR Tire Department,plants
Participant occupation XII,again  shipyard,arrested for
1981  member,Andrzej Lipski,focused on
7 stool VII,1982 stool guard,released
5th  1982,1983 Open amnesty,arrested
1980,August agreements,arrested
1981  organizer,1982 John Narożyka hospital,broadcast
1980  member,then Instalow Installation,Chairman of
organizer,plant,In
"also others""Tygodnik marks",underground  postcards,leaflets
19,ax,interned in
24  XI,1982  axle,interned in
1980  member,ministerial government region,Map;In
5  VI,1981  Rzeszów,interned in
1968  1982,Ostrów Wlkp,Employed in
organizer,Solidarity Ostrów Wlkp,Committee with
He,Polonia Restituta,awarded
2  September,1985  p,worked
1983 Stoczniowa he,repressed trade union activities,collected
Author,gallows,put
1949  Clerk,1963–1984 Warsaw Housing Cooperative,named
Janusz Henryk Rożek,1921  Lublin,born12
then peasant branch,volatile Home Army Lublin,wounded
13  XII,1981  axle,interned in
1991 MP Rzeczpospolita Polska,Solidarity trade S,retired
1982 remuneration internment,1982 remuneration X,repealed
head,1982 Syrena Theater,throwing
22  VII,1958  Poland,displaced to
1981  1982,WatchV SOR KRPT,Developed by
Students i,Students Uniwersytet,m
Krystyna Ruchniewicz Misiak,1942  Bydgoszcz,born12
1981 Vice - President,Regional Education,S
13  XII,delegation  emigration,stayed with
1971  organizer,-called Bałuki work,dismissed from
Postal Postage which,"views),30 VIII",released
1981  1982,SOR KRPT,Mo in
4 Polish days,forced Polish hunger,made
1980  1989,MO SOS SOR KRPT,worked
1987  locksmith,1987 factory van Hamburg,lives in
1981  he,executive Krajowy Mazowsze,documented
13  XII,4 Warsaw XII,interned in
1981  he,interned  St,celebrated
1946  Goniec,owned  communication,works
Golden Honorary Badge,Krynica Freedom,awarded
1980  participant,1980 Workbook Gdańsk,Wałęsa in
she,sick  child,went to
1983  June,2 EC crypt,worked
10  IV,2010 plane Smolensk,died in
13  XII,1981  October,interned in
Military Military Cross,Great President Rzeczpospolita exile,Decorated with
I,1976 FacultyV Dep,worked
Mirosław Rybicki,9  Gdynia,born
1981  XII,1982 Kolporter Underground Solidarity,Scriptures
1  VIII,FacultyIII SOR crypt,worked
We,1980 Founding Company,VI
1981  he,SB officers,escaped through
1981 19 1981 founder,governing Solidarity ax,interned in
VI  1979,outz,Developed by
1980 Municipal Journalist,Echo,writing
editorial Individual she,independent publication point,ran
"80 Gazeta Wyborcza"");also",literary book prison,Author of numerous
